Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) FRT_U1,Coverage (%) FRT_U2,Coverage (%) FRT_PM2,Coverage (%) FRT_PM1,Coverage (%) Fluid_U2,Coverage (%) Fluid_U1,Coverage (%) Fluid_PM1,Coverage (%) Fluid_PM2,Area FRT_U1,Area FRT_U2,Area FRT_PM2,Area FRT_PM1,Area Fluid_U2,Area Fluid_U1,Area Fluid_PM1,Area Fluid_PM2,Peptides,Unique,Spec FRT_U1,Spec FRT_U2,Spec FRT_PM2,Spec FRT_PM1,Spec Fluid_U2,Spec Fluid_U1,Spec Fluid_PM1,Spec Fluid_PM2,PTM,Avg. Mass,Description
480,408,FBgn0037513,254.72,53,35,48,43,48,50,53,41,33,8.3428E6,1.5417E7,8.5798E6,1.3509E7,1.3683E7,1.7477E7,5.501E6,4.0525E6,15,15,30,32,26,32,39,35,26,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),43800,FBpp0081276
567,217,FBgn0003261,254.57,42,29,38,39,36,14,13,8,8,2.5647E7,4.5766E7,4.7322E7,3.9813E7,9.3285E5,1.3395E6,2.6819E5,6.1748E4,23,20,35,41,43,40,9,10,5,6,Carbamidomethylation; Oxidation (M),78548,FBpp0078301
509,370,FBgn0015282,254.42,52,38,34,36,40,37,32,28,30,9.3689E6,5.7491E6,2.2172E7,1.0381E7,8.9744E6,5.0344E6,2.2902E6,1.9957E6,20,18,26,24,30,25,31,21,18,18,Carbamidomethylation; Oxidation (M),49324,FBpp0083906
222,661,FBgn0040309,254.40,75,75,75,75,75,75,61,73,59,2.6909E8,1.6063E8,1.6051E8,2.2189E8,7.9562E7,2.0203E7,9.3126E6,2.0353E7,15,15,94,106,105,102,74,40,58,29,Carbamidomethylation; Oxidation (M); Deamidation (NQ),21738,FBpp0073594
459,261,FBgn0028684,254.16,61,33,54,43,47,45,36,27,29,1.3104E7,1.9306E7,1.4964E7,2.1485E7,6.806E6,4.9629E6,8.7581E5,1.7447E6,20,19,36,41,39,34,31,29,20,18,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47807,FBpp0083843
457,296,FBgn0028968,253.85,39,23,25,23,22,29,23,12,9,3.066E7,2.8805E7,3.5705E7,3.8863E7,2.2004E7,7.9089E6,7.0691E5,5.6896E5,28,28,40,36,41,41,38,27,15,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),99452,FBpp0303129
543,282,FBgn0000244,253.78,49,29,32,38,44,4,7,1,1,3.0705E7,4.4169E7,4.1041E7,5.2636E7,1.4556E6,8.8244E5,0,0,25,25,36,42,45,44,7,7,2,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),79468,FBpp0081597
274,262,FBgn0035484,253.42,62,36,28,43,28,52,48,49,37,6.2035E7,7.6443E7,5.5041E7,3.6501E7,9.6551E7,4.7311E7,8.588E6,9.0338E6,26,26,55,42,45,29,100,59,66,34,Carbamidomethylation; Oxidation (M); Deamidation (NQ),59641,FBpp0073140
918,310,FBgn0034401,253.37,35,16,21,27,26,10,4,3,1,3.8405E6,5.1132E6,1.0385E7,7.6281E6,6.9115E5,3.0183E5,5.8223E4,1.5501E4,23,23,13,17,25,23,6,3,4,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),112484,FBpp0085809
330,1037,FBgn0285952,253.30,74,70,70,70,70,69,60,64,49,1.2987E8,9.6275E7,1.0272E8,8.8775E7,3.0441E7,9.5617E6,1.2803E7,9.2907E6,19,19,65,69,58,70,37,19,27,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ),17591,FBpp0072081
942,327,FBgn0085384,253.30,32,15,23,25,28,5,5,0,1,6.6683E6,1.5675E7,1.999E7,2.521E7,6.7221E5,2.6152E5,,0,17,17,17,24,23,24,3,4,0,1,Oxidation (M); Deamidation (NQ),84611,FBpp0297661
289,1020,FBgn0016120,253.09,80,77,76,72,76,0,0,0,0,8.1856E8,4.8447E8,5.9337E8,5.0643E8,,,,,16,16,117,119,122,133,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),20201,FBpp0083141
297,325,FBgn0035147,252.97,71,63,59,71,55,69,57,51,38,7.5158E7,8.0906E7,4.5684E7,4.0728E7,7.4373E7,4.0039E7,1.5361E7,9.1688E6,21,21,84,58,68,40,64,41,26,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ),38697,FBpp0072455
416,440,FBgn0019957,252.63,49,46,44,47,46,0,0,0,0,7.4226E7,7.0016E7,1.1315E8,1.0306E8,,,,,18,18,85,65,84,80,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),46898,FBpp0083570
400,517,FBgn0027844,252.49,69,47,47,63,61,46,41,27,15,5.4931E7,4.5645E7,5.2759E7,3.2984E7,1.8923E7,3.2564E6,2.6938E6,1.4358E6,15,15,43,59,54,45,33,31,8,7,Carbamidomethylation; Oxidation (M); Deamidation (NQ),29953,FBpp0080116
658,390,FBgn0262509,252.43,12,6,9,10,10,0,0,0,0,3.1014E7,5.5354E7,6.7815E7,1.4335E8,,,,,20,20,30,36,46,48,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),244591,FBpp0293373
220,640,FBgn0001149,252.29,72,67,64,54,65,59,48,48,48,3.1576E8,1.5866E8,3.0239E8,2.7733E8,1.5809E8,2.905E7,2.3307E7,2.6686E7,24,17,111,80,85,83,75,30,47,23,Carbamidomethylation; Oxidation (M); Deamidation (NQ),23866,FBpp0082077
547,263,FBgn0031313,252.22,56,16,27,39,42,51,42,40,29,6.135E6,1.4496E7,2.7856E7,1.9027E7,3.7489E7,8.8529E6,6.0202E6,3.6454E6,29,28,10,15,28,22,42,34,28,20,Oxidation (M); Deamidation (NQ),61234,FBpp0077646
520,298,FBgn0027081,251.99,43,16,21,27,30,35,33,18,21,5.7724E6,1.217E7,3.7064E7,1.3144E7,2.5628E7,7.2232E6,1.7292E6,2.2934E6,29,29,19,18,27,25,49,28,13,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ),85978,FBpp0079914
246,546,FBgn0035678,251.86,55,55,55,52,52,52,52,4,23,3.7413E8,3.977E8,1.0196E8,8.357E7,3.0543E7,1.6862E7,4.5866E5,9.3447E5,19,19,113,129,62,63,55,68,1,5,Carbamidomethylation; Oxidation (M); Deamidation (NQ),29775,FBpp0076772
334,774,FBgn0285937,251.52,78,78,78,78,78,56,17,22,0,1.1693E8,7.5648E7,1.0173E8,9.1227E7,5.7269E6,5.1968E5,1.6986E5,,13,11,74,90,86,87,15,6,10,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),22763,FBpp0083503
774,268,FBgn0038535,251.36,38,25,23,30,25,0,2,0,0,1.7638E7,1.3752E7,2.2197E7,1.373E7,,7.4314E4,,,23,23,29,23,32,26,0,1,0,0,Oxidation (M); Deamidation (NQ),98593,FBpp0088433
600,377,FBgn0011225,251.15,28,12,17,18,19,16,12,7,4,5.7824E6,1.1751E7,2.2859E7,2.3952E7,7.764E6,1.8258E6,4.7821E5,1.128E6,31,31,17,30,27,29,23,11,8,4,Carbamidomethylation; Oxidation (M),144937,FBpp0290582
1009,225,FBgn0265003,250.51,28,13,15,24,23,0,0,0,0,7.1821E6,7.8492E6,1.181E7,1.3735E7,,,,,19,19,16,20,31,32,0,0,0,0,Oxidation (M),109725,FBpp0307480
668,722,FBgn0032509,250.46,85,85,85,85,81,75,41,41,21,3.175E7,2.3167E7,2.1157E7,2.0007E7,5.6501E6,1.7028E6,9.1082E5,7.1813E4,15,15,28,25,28,31,22,10,13,4,Carbamidomethylation; Oxidation (M),23631,FBpp0080044
445,495,FBgn0000566,250.37,55,40,45,43,46,50,51,35,28,4.4184E7,5.7719E7,6.0832E7,4.4577E7,3.6414E7,2.3327E7,7.6171E6,4.2343E6,18,18,45,38,37,34,40,43,21,16,Carbamidomethylation; Oxidation (M); Deamidation (NQ),42988,FBpp0085889
186,400,FBgn0026409,249.92,61,54,57,61,53,0,6,0,0,3.6143E8,4.7826E8,4.3993E8,3.2722E8,,7.684E4,,,21,18,162,160,164,129,0,2,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),38850,FBpp0075461
426,934,FBgn0021906,249.74,49,49,49,49,49,0,0,0,0,2.6694E8,2.0953E8,2.4057E8,2.5577E8,,,,,16,16,66,59,67,69,0,0,0,0,Oxidation (M),24872,FBpp0077581
749,2373,FBgn0002593,249.37,71,71,71,71,71,71,71,71,71,1.4396E8,1.7222E8,1.6595E8,1.4481E8,1.391E7,5.2308E6,6.985E6,5.4093E6,12,12,34,29,32,30,13,6,12,5,Carbamidomethylation; Deamidation (NQ),11513,FBpp0077716
1001,281,FBgn0027572,249.31,39,18,29,32,30,0,0,0,0,1.068E7,2.1693E7,1.4188E7,8.8791E6,,,,,20,20,17,21,21,19,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),74287,FBpp0088517
559,398,FBgn0027080,249.17,65,28,28,34,34,58,31,21,11,2.003E7,2.744E7,2.3569E7,1.7866E7,6.2362E7,1.5352E7,1.8447E6,9.493E5,31,31,20,20,21,20,50,27,12,6,Carbamidomethylation; Oxidation (M),58159,FBpp0075168
218,528,FBgn0001216,249.14,36,11,18,13,15,29,28,16,12,,1.9016E5,,,3.6722E5,8.8056E4,5.1213E6,0,24,8,108,94,101,86,79,60,28,21,Carbamidomethylation; Oxidation (M); Deamidation (NQ),70686,FBpp0075504
367,752,FBgn0031143,249.13,59,48,59,59,53,52,49,42,45,8.2268E7,8.1727E7,7.1178E7,5.8007E7,3.5012E7,6.2111E6,3.7111E6,3.8454E6,15,15,56,66,70,47,35,40,10,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),31642,FBpp0076960
132,438,FBgn0002622,248.84,75,74,74,74,71,72,71,58,54,7.0893E8,5.5821E8,4.0085E8,3.0962E8,1.0171E8,2.6358E7,1.4591E7,1.4348E7,24,24,192,176,167,122,90,80,27,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ),27471,FBpp0083802
703,449,FBgn0031092,248.83,69,66,66,62,54,2,3,3,0,4.7094E7,2.95E7,4.793E7,3.8413E7,5.8331E4,6.3324E4,2.6613E4,,15,15,36,49,41,36,1,2,1,0,Carbamidomethylation; Oxidation (M),33818,FBpp0070006
359,1068,FBgn0037874,248.54,81,77,77,77,80,77,70,69,50,1.8651E8,1.1245E8,9.316E7,4.159E7,5.2978E7,1.2927E7,7.8005E6,9.7459E6,15,15,65,56,62,58,57,19,25,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ),19637,FBpp0081820
529,557,FBgn0050371,248.43,55,37,54,29,32,32,38,0,0,2.1779E7,6.129E7,1.1779E7,8.7869E6,1.5241E7,5.9798E6,,,16,15,35,66,20,21,37,40,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),43616,FBpp0087874
118,620,FBgn0004907,248.30,65,62,62,60,60,59,57,49,44,6.5573E8,4.6165E8,4.7105E8,4.2624E8,3.0701E8,7.5801E7,5.3233E7,4.6651E7,16,14,140,157,143,113,146,173,46,40,Carbamidomethylation; Oxidation (M); Deamidation (NQ),28228,FBpp0087502
453,488,FBgn0038922,248.17,57,57,49,57,49,6,6,2,0,2.29E8,2.4317E8,1.6062E8,1.5541E8,3.8435E5,5.0476E5,1.2617E5,,18,18,68,67,67,60,2,2,1,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),40382,FBpp0083588
294,846,FBgn0039757,248.11,67,67,64,64,64,64,55,48,47,3.3804E8,1.8317E8,2.2087E8,2.4266E8,3.4273E7,8.5356E6,2.865E6,5.2774E6,15,15,65,67,87,79,33,15,23,12,Deamidation (NQ),22170,FBpp0088970
340,754,FBgn0264489,248.10,10,10,10,10,10,2,0,0,0,1.2329E8,1.5204E8,1.5579E8,1.8918E8,1.5137E5,,,,15,15,87,80,90,87,3,0,0,0,Carbamidomethylation; Oxidation (M),154598,FBpp0305053
291,1190,FBgn0031037,248.02,58,58,58,57,52,44,43,43,40,3.4314E8,3.0223E8,3.6461E8,4.5295E8,1.2606E8,2.1428E7,1.2457E7,2.8686E7,11,11,65,71,81,97,47,41,27,15,Deamidation (NQ),21778,FBpp0074503
365,372,FBgn0020369,247.87,66,41,44,49,58,30,51,39,22,1.1829E7,1.3092E7,9.2616E6,1.062E7,5.6438E6,4.3936E6,2.5369E6,1.0498E6,25,14,42,36,42,38,21,25,19,16,Carbamidomethylation; Oxidation (M); Deamidation (NQ),45857,FBpp0076890
484,289,FBgn0027348,247.59,43,27,37,26,31,23,19,9,8,2.7858E7,8.916E7,3.1002E7,3.3481E7,6.821E6,3.1025E6,6.8343E5,1.3652E5,23,23,48,52,46,39,21,13,5,6,Carbamidomethylation; Oxidation (M); Deamidation (NQ),73611,FBpp0080167
762,273,FBgn0035266,247.55,51,40,47,44,45,0,0,0,0,2.5901E7,3.1396E7,2.4444E7,2.6592E7,,,,,21,19,38,40,33,24,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),64588,FBpp0072650
706,238,FBgn0034420,247.48,32,14,20,25,31,0,0,0,0,1.1078E7,1.0453E7,2.2306E7,2.5172E7,,,,,21,21,24,27,36,41,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),103829,FBpp0288751
530,392,FBgn0027086,247.25,35,14,19,20,25,19,16,4,8,1.0415E7,1.2451E7,2.0218E7,2.0971E7,7.6227E6,3.2395E6,1.0903E5,3.7319E5,37,37,20,33,30,35,25,18,4,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),141099,FBpp0078150
556,1796,FBgn0004403,247.11,68,66,68,67,66,48,46,46,40,1.7568E8,1.9847E8,1.6963E8,1.5127E8,9.9707E6,3.0019E6,4.3625E6,5.3224E6,17,17,47,41,45,50,15,9,10,8,Oxidation (M); Deamidation (NQ),16265,FBpp0071050
556,1797,FBgn0004404,247.11,68,66,68,67,66,48,46,46,40,1.7568E8,1.9847E8,1.6963E8,1.5127E8,9.9707E6,3.0019E6,4.3625E6,5.3224E6,17,17,47,41,45,50,15,9,10,8,Oxidation (M); Deamidation (NQ),16265,FBpp0071052
544,269,FBgn0031771,246.94,61,47,44,56,58,0,0,0,0,4.8736E7,2.6054E7,4.9203E7,6.786E7,,,,,19,16,52,39,47,47,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),51831,FBpp0078847
224,544,FBgn0031913,246.91,57,52,50,50,50,54,56,56,56,2.1736E8,2.7629E8,1.7547E8,7.1802E7,1.9879E8,6.6722E7,4.4284E7,3.6737E7,21,21,72,82,68,47,94,93,41,34,Carbamidomethylation; Oxidation (M); Deamidation (NQ),33936,FBpp0079090
646,462,FBgn0014868,246.54,44,36,37,44,40,0,2,0,0,2.9936E7,2.8698E7,3.6133E7,3.9451E7,,0,,,15,15,33,38,49,39,0,1,0,0,Deamidation (NQ),49981,FBpp0071279
528,371,FBgn0028969,246.29,48,38,32,40,30,39,24,18,9,2.7759E7,4.1298E7,3.4491E7,2.9227E7,1.6449E7,4.0038E6,9.0496E5,5.757E5,20,20,34,35,38,38,30,20,10,3,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57905,FBpp0070355
711,332,FBgn0051352,246.24,34,12,27,24,30,2,1,0,0,1.3887E7,1.925E7,1.9066E7,2.2394E7,0,2.0375E5,,,22,22,19,32,30,39,1,1,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),93910,FBpp0289791
857,412,FBgn0027611,246.01,27,16,16,20,20,4,4,0,1,8.3055E6,3.3264E6,8.452E6,8.1458E6,7.4259E5,3.9571E5,,9.5643E3,23,22,24,21,31,21,5,4,0,1,Oxidation (M); Deamidation (NQ),122685,FBpp0079620
629,446,FBgn0262508,246.00,21,3,10,14,14,3,2,0,0,3.0757E6,6.1495E6,1.6077E7,1.3321E7,7.3198E5,9.5399E4,,,39,38,14,26,41,33,11,7,0,0,Oxidation (M); Deamidation (NQ),285795,FBpp0293353
656,443,FBgn0034688,245.92,50,24,30,36,25,49,38,40,42,4.4066E6,4.2761E6,5.4502E6,5.3103E6,1.1717E7,6.5833E6,2.3639E6,3.2246E6,17,17,9,12,11,10,38,21,36,15,Carbamidomethylation; Oxidation (M); Deamidation (NQ),49411,FBpp0071715
916,385,FBgn0031057,244.83,47,42,30,45,40,15,0,3,0,1.2199E7,4.5036E6,8.3461E6,4.8029E6,6.6682E5,,8.9012E3,,16,16,23,20,21,17,5,0,1,0,Oxidation (M); Deamidation (NQ),58836,FBpp0074519
500,619,FBgn0267975,244.81,64,61,58,58,58,61,64,46,43,4.5373E7,4.3308E7,3.1408E7,2.7347E7,2.9562E7,9.0647E6,5.3225E6,4.1199E6,16,16,36,30,36,34,30,36,15,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),31552,FBpp0301765
437,413,FBgn0026061,244.63,47,34,40,39,35,37,35,25,18,3.5053E7,2.6633E7,5.6422E7,8.6118E7,1.4847E7,1.892E7,1.9575E6,3.228E6,20,20,39,36,41,36,33,29,22,11,Carbamidomethylation,53571,FBpp0075156
455,308,FBgn0027329,244.50,57,30,43,31,40,46,36,33,13,2.6849E7,4.1673E7,3.3757E7,3.0104E7,3.3147E7,1.2266E7,2.7657E6,8.4122E5,25,25,31,37,31,25,35,20,14,7,Carbamidomethylation; Oxidation (M); Deamidation (NQ),58246,FBpp0073902
699,356,FBgn0086706,244.48,54,18,20,21,17,50,26,21,12,1.0147E7,1.2952E7,1.2467E7,8.7163E6,2.9363E7,4.5521E6,1.716E6,1.5442E6,26,26,13,11,14,11,40,13,11,6,Carbamidomethylation; Oxidation (M); Deamidation (NQ),69298,FBpp0076284
537,470,FBgn0033367,244.33,47,9,6,13,10,41,38,25,25,1.7456E6,2.3074E6,3.4494E6,3.7313E6,3.6902E7,2.0494E7,2.6419E6,4.3226E6,31,29,5,5,7,6,49,44,20,23,Carbamidomethylation; Oxidation (M); Deamidation (NQ),79285,FBpp0087744
814,297,FBgn0038810,244.03,41,11,25,34,24,21,10,12,9,5.2182E6,1.3543E7,1.4851E7,1.0424E7,2.9237E6,7.1366E5,3.7736E5,1.2349E5,24,24,20,28,26,22,18,7,6,5,Carbamidomethylation; Oxidation (M),72851,FBpp0083319
517,359,FBgn0027073,243.75,46,39,38,42,36,0,6,0,0,8.3052E7,1.0948E8,8.783E7,8.8548E7,,4.8956E5,,,21,21,48,60,64,64,0,3,0,0,Oxidation (M); Deamidation (NQ),60100,FBpp0071551
321,460,FBgn0011770,243.68,78,66,63,63,55,63,60,56,56,8.9605E7,5.3807E7,5.1497E7,4.3473E7,6.825E7,8.4019E6,7.3795E6,1.2981E7,15,15,70,52,70,36,48,49,47,21,Carbamidomethylation; Oxidation (M); Deamidation (NQ),29093,FBpp0071406
450,476,FBgn0013763,243.63,38,30,32,32,32,32,36,27,28,1.3491E7,1.5277E7,1.4836E7,2.0442E7,1.0871E7,1.324E7,1.7054E6,2.6782E6,17,15,41,40,26,28,30,36,35,16,Deamidation (NQ),50354,FBpp0086257
435,1182,FBgn0086691,243.33,75,75,75,75,69,75,67,67,67,3.591E8,2.5496E8,2.8686E8,1.7626E8,8.5423E7,2.2969E7,2.913E7,2.5986E7,13,13,48,48,39,44,37,16,20,18,Carbamidomethylation; Oxidation (M); Deamidation (NQ),14876,FBpp0080305
406,343,FBgn0022382,243.25,67,40,59,53,65,44,28,30,32,3.3084E7,3.4746E7,4.3616E7,5.8334E7,2.2112E7,9.4886E6,2.3003E6,3.4602E6,19,19,35,39,36,40,38,23,28,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),42748,FBpp0087523
491,305,FBgn0028686,243.06,68,39,62,44,49,39,43,14,27,3.4006E7,2.1018E7,2.4592E7,2.7386E7,5.8649E6,6.855E6,6.856E5,2.3656E6,21,20,31,31,30,31,22,21,9,9,Carbamidomethylation; Oxidation (M),46999,FBpp0073292
609,531,FBgn0250848,242.86,35,29,32,32,35,3,0,0,0,7.2728E7,3.8516E7,5.8803E7,4.0725E7,5.0045E4,,,,15,15,46,44,52,38,1,0,0,0,Carbamidomethylation; Oxidation (M),62130,FBpp0075508
692,1086,FBgn0039479,242.71,26,19,24,24,26,2,0,0,0,2.2128E7,2.1429E7,3.8639E7,2.7159E7,5.3171E4,,,,13,13,24,38,51,41,1,0,0,0,Deamidation (NQ),57629,FBpp0288839
308,344,FBgn0033101,242.57,79,51,70,70,61,79,67,68,47,7.2052E7,6.4022E7,4.9658E7,3.2768E7,5.7884E7,1.6694E7,1.2798E7,7.9911E6,18,17,49,58,46,41,67,90,32,21,Carbamidomethylation; Oxidation (M),35418,FBpp0085467
371,764,FBgn0037063,242.41,54,48,53,44,47,50,41,41,34,9.9339E7,7.6762E7,6.6377E7,5.9539E7,3.5037E7,8.8915E6,7.2678E6,5.1499E6,17,17,66,57,71,62,40,34,11,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),30626,FBpp0078071
442,589,FBgn0037723,242.27,67,49,46,51,46,48,43,53,32,6.4909E7,4.5741E7,3.4603E7,2.7225E7,4.0425E7,9.3242E6,1.0427E7,7.4389E6,17,17,36,35,32,22,39,37,21,16,Carbamidomethylation; Oxidation (M); Deamidation (NQ),32335,FBpp0081556
564,329,FBgn0286198,242.26,34,19,18,30,26,1,0,1,0,2.3355E7,2.0403E7,3.4041E7,2.7838E7,1.8225E5,,2.831E4,,21,21,48,36,48,42,1,0,1,0,Carbamidomethylation; Oxidation (M),103125,FBpp0079118
422,431,FBgn0034709,242.25,52,34,39,34,45,6,4,6,0,8.9433E7,6.5753E7,1.1141E8,1.9769E8,1.7817E5,0,1.1015E5,,20,20,70,71,68,72,3,1,2,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),48787,FBpp0071697
439,1526,FBgn0028342,242.09,75,75,75,75,75,0,0,0,0,1.6177E8,1.9384E8,1.5348E8,1.9876E8,,,,,11,11,91,73,71,77,0,0,0,0,,16728,FBpp0071373
586,422,FBgn0031020,241.69,36,11,17,14,23,29,17,12,15,4.95E6,9.6496E6,1.065E7,1.0602E7,1.6737E7,3.4817E6,5.6903E5,1.5864E6,30,30,12,16,15,20,35,16,17,14,Oxidation (M); Deamidation (NQ),103092,FBpp0074480
771,375,FBgn0036702,241.44,43,21,32,31,36,0,0,0,0,1.8864E7,2.3919E7,3.8769E7,3.5119E7,,,,,26,26,27,37,32,33,0,0,0,0,Carbamidomethylation; Oxidation (M),89701,FBpp0075012
438,580,FBgn0015777,241.12,60,48,57,52,54,0,2,0,0,9.3631E7,1.4521E8,1.4339E8,1.0857E8,,7.9533E4,,,18,18,73,55,72,62,0,1,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),37283,FBpp0079009
190,653,FBgn0014869,240.84,61,60,61,60,61,61,60,61,57,4.0335E8,2.918E8,3.0712E8,2.1624E8,2.088E8,3.9801E7,4.9541E7,4.9712E7,14,14,115,85,86,67,88,106,47,44,Carbamidomethylation; Oxidation (M); Deamidation (NQ),28573,FBpp0084753
765,315,FBgn0031589,240.78,38,16,21,28,22,32,16,8,1,7.4123E6,5.0522E6,1.5152E7,9.3023E6,1.1039E7,2.0536E6,2.1547E5,2.2004E4,21,21,14,19,19,17,21,8,3,1,Carbamidomethylation; Deamidation (NQ),73971,FBpp0077168
634,1633,FBgn0262512,240.70,83,77,83,83,81,44,53,48,32,4.358E7,6.0193E7,8.1384E7,7.8656E7,2.151E6,5.9897E5,1.3154E6,7.8574E5,10,10,41,46,39,41,6,4,4,3,Carbamidomethylation; Oxidation (M); Deamidation (NQ),13850,FBpp0086474
549,406,FBgn0015834,239.85,75,52,68,68,67,59,54,17,23,1.7869E7,2.7629E7,2.0296E7,1.6284E7,3.4207E6,4.4998E6,1.2946E5,7.977E4,18,18,42,33,42,40,20,20,5,6,Carbamidomethylation; Oxidation (M); Deamidation (NQ),36160,FBpp0078689
823,696,FBgn0264492,239.70,63,31,38,47,55,24,21,17,0,8.4171E6,1.4797E7,2.4543E7,1.7339E7,2.8809E6,8.3557E5,3.4382E5,,15,15,22,19,33,29,9,5,4,0,Oxidation (M); Deamidation (NQ),39960,FBpp0311359
717,414,FBgn0025628,239.34,51,23,29,27,35,30,16,15,8,1.2128E7,2.1478E7,2.0946E7,1.5324E7,6.8476E6,2.275E6,8.4495E5,4.2979E5,23,23,23,24,20,19,21,13,8,4,Carbamidomethylation; Oxidation (M); Deamidation (NQ),65006,FBpp0070320
718,824,FBgn0034390,239.23,57,42,46,53,53,9,4,9,0,3.6078E7,2.8104E7,3.0136E7,2.1268E7,1.9341E5,2.6863E4,1.7469E5,,14,14,43,35,41,34,3,1,3,0,Carbamidomethylation; Oxidation (M),33883,FBpp0085821
399,416,FBgn0028687,238.87,65,45,53,45,48,44,47,21,30,3.3513E7,2.939E7,3.0949E7,2.9331E7,7.0813E6,9.1207E6,8.7012E5,1.7326E6,25,24,45,47,38,37,36,30,19,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),48542,FBpp0088021
262,465,FBgn0022359,238.61,58,21,29,39,40,55,48,49,22,2.8938E6,1.4157E7,4.4027E6,4.9141E6,4.6649E6,5.2775E6,1.8813E6,8.9298E5,17,7,45,47,52,44,76,44,29,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ),38662,FBpp0081800
744,404,FBgn0026428,238.55,23,5,6,8,6,20,11,8,10,4.3558E6,3.7024E6,2.6904E6,7.8977E5,2.453E7,3.9628E6,5.5661E5,2.0721E6,20,20,8,12,9,7,37,19,16,13,Carbamidomethylation; Oxidation (M),130904,FBpp0303431
473,430,FBgn0261396,238.34,59,42,36,43,37,44,31,24,14,4.439E7,3.8607E7,5.1031E7,3.3237E7,2.5789E7,5.9743E6,1.4047E6,2.997E5,31,31,39,32,38,35,35,22,11,7,Carbamidomethylation; Oxidation (M),56004,FBpp0307804
866,352,FBgn0287225,238.13,37,31,34,36,29,0,0,0,0,2.6307E7,3.4035E7,3.8114E7,3.0104E7,,,,,21,21,30,26,28,24,0,0,0,0,Carbamidomethylation; Oxidation (M),68361,FBpp0082728
696,552,FBgn0000536,237.99,36,18,24,16,20,36,29,23,18,8.5299E6,9.9732E6,9.556E6,6.2543E6,1.8545E7,4.1188E6,1.1376E6,6.1211E5,16,16,16,18,14,15,31,18,10,8,,56842,FBpp0073993
633,753,FBgn0038400,237.97,68,48,45,63,67,0,0,0,0,5.7056E7,4.312E7,4.9359E7,4.2252E7,,,,,13,13,38,38,44,49,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),24481,FBpp0082733
855,379,FBgn0039877,237.93,37,24,26,28,24,2,0,0,0,2.0975E7,2.9324E7,2.1848E7,1.9191E7,4.9797E4,,,,20,20,24,26,21,21,1,0,0,0,Carbamidomethylation; Oxidation (M),76515,FBpp0085215
825,288,FBgn0266758,237.93,37,13,27,30,26,0,0,0,0,2.6189E6,1.542E7,1.4499E7,1.6673E7,,,,,23,23,14,37,39,38,0,0,0,0,Oxidation (M),94852,FBpp0297166
456,860,FBgn0030332,237.68,68,49,68,62,68,49,14,51,21,8.3616E7,8.7014E7,7.6349E7,8.2688E7,1.3038E7,8.8938E5,2.2086E6,1.1586E6,12,12,44,62,53,45,27,12,11,6,Carbamidomethylation; Oxidation (M); Deamidation (NQ),27080,FBpp0073450
410,380,FBgn0001624,237.46,26,16,19,19,22,22,19,13,7,2.8343E7,3.3629E7,4.0879E7,4.3663E7,3.2854E7,8.1841E6,1.3019E6,1.5706E6,22,22,33,38,44,43,48,30,14,8,Oxidation (M),112503,FBpp0290503
941,450,FBgn0035515,237.44,41,33,37,35,39,0,0,0,0,2.4244E7,9.2426E6,2.6989E7,3.3009E7,,,,,17,17,28,22,30,25,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),51162,FBpp0073081
