Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,FRT_U1 Area,FRT_U2 Area,FRT_PM2 Area,FRT_PM1 Area,Fluid_U2 Area,Fluid_U1 Area,Fluid_PM1 Area,Fluid_PM2 Area,FRT_U1 Area (top-3 peptides),FRT_U2 Area (top-3 peptides),FRT_PM2 Area (top-3 peptides),FRT_PM1 Area (top-3 peptides),Fluid_U2 Area (top-3 peptides),Fluid_U1 Area (top-3 peptides),Fluid_PM1 Area (top-3 peptides),Fluid_PM2 Area (top-3 peptides),Sample Profile (Ratio),Tissue Area,Fluid Area,Tissue Area (top-3 peptides),Fluid Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
724,607,FBgn0032727,140.97,32,8,8,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6.9544E6,8.7254E6,1.4351E7,1.2533E7,3.1262E7,3.841E7,7.3872E7,5.5904E7,6.3535E6,5.6335E6,1.092E7,8.6122E6,2.4021E7,2.3396E7,6.1505E7,4.6639E7,0.58:0.52:1.00:0.79:2.20:2.14:5.63:4.27,1.3789E7,5.8789E7,8.5873E6,4.4678E7,1.00:5.20,36682,FBpp0080731
473,470,FBgn0033367,138.61,11,6,6,Oxidation (M),1.8793E6,3.608E6,3.1918E6,3.3202E6,3.7935E7,4.993E6,2.7916E7,3.811E7,1.0673E6,2.3309E6,1.9994E6,2.1182E6,2.5708E7,3.4827E6,1.3612E7,2.3866E7,0.53:1.17:1.00:1.06:12.86:1.74:6.81:11.94,2.9998E6,2.9499E7,1.879E6,1.6667E7,1.00:8.87,79285,FBpp0087744
1235,1048,FBgn0264491,136.54,5,2,2,Deamidation (NQ),1.2813E6,0,8.184E5,6.4578E5,3.3331E6,2.0831E6,5.2416E6,5.5469E6,1.2813E6,0,8.184E5,6.4578E5,3.3331E6,2.0831E6,5.2416E6,5.5469E6,1.57:0:1.00:0.79:4.07:2.55:6.40:6.78,1.3024E6,4.2417E6,1.3024E6,4.2417E6,1.00:3.26,45644,FBpp0307182
50,48,FBgn0010100,134.28,37,22,22,Carbamidomethylation; Oxidation (M),6.4397E8,5.556E8,2.2961E8,1.6745E8,6.1478E7,4.4181E7,1.9869E7,6.7657E7,1.7881E8,1.6822E8,1.4405E8,1.0746E8,1.6582E7,6.6017E6,1.3738E7,2.2377E7,1.24:1.17:1.00:0.75:0.12:0.05:0.10:0.16,3.9996E8,5.2385E7,1.4963E8,1.6248E7,1.00:0.11,85398,FBpp0081002
713,1252,FBgn0010078,131.58,51,6,6,Carbamidomethylation; Oxidation (M),1.3754E8,1.3971E8,1.4649E8,1.3154E8,2.8717E7,2.3915E7,8.1105E7,6.3858E7,1.0803E8,1.1315E8,1.1938E8,1.0615E8,2.3368E7,1.6902E7,6.2197E7,5.5721E7,0.90:0.95:1.00:0.89:0.20:0.14:0.52:0.47,1.3882E8,4.9967E7,1.1168E8,3.9547E7,1.00:0.35,14937,FBpp0071808
494,1633,FBgn0262512,131.17,73,7,7,Carbamidomethylation; Oxidation (M),2.3166E7,3.1908E7,4.281E7,4.7749E7,4.1532E6,5.1683E6,2.3818E7,1.7513E7,1.9615E7,2.7302E7,2.7139E7,3.5579E7,3.4994E6,3.5516E6,1.6923E7,1.4914E7,0.72:1.01:1.00:1.31:0.13:0.13:0.62:0.55,3.6408E7,1.2688E7,2.7409E7,9.7219E6,1.00:0.35,13850,FBpp0086474
451,846,FBgn0039757,129.66,47,10,10,,3.2621E8,1.5727E8,1.785E8,2.271E8,8.5414E7,4.468E7,6.4093E7,1.1448E8,2.1806E8,1.1071E8,1.1505E8,1.4601E8,5.745E7,2.8708E7,3.6611E7,8.7785E7,1.90:0.96:1.00:1.27:0.50:0.25:0.32:0.76,2.235E8,8.0226E7,1.4838E8,5.2639E7,1.00:0.35,22170,FBpp0088970
172,4,FBgn0029990,128.98,33,12,12,Carbamidomethylation; Oxidation (M),8.6063E7,7.3909E7,5.5483E7,3.4794E7,2.9329E8,9.567E7,2.3809E8,3.0707E8,5.8339E7,5.0231E7,3.7335E7,1.966E7,1.7238E8,6.131E7,1.4759E8,2.152E8,1.56:1.35:1.00:0.53:4.62:1.64:3.95:5.76,6.4838E7,2.4285E8,4.1391E7,1.5085E8,1.00:3.64,46509,FBpp0071075
1240,937,FBgn0039219,128.27,9,3,3,,8.4995E4,2.0083E6,1.5604E6,2.2188E6,4.2132E6,1.0398E6,8.1817E6,8.3623E6,8.4995E4,2.0083E6,1.5604E6,2.2188E6,4.2132E6,1.0398E6,8.1817E6,8.3623E6,0.05:1.29:1.00:1.42:2.70:0.67:5.24:5.36,1.6336E6,5.7892E6,1.6336E6,5.7892E6,1.00:3.54,41726,FBpp0084120
1444,1877,FBgn0285949,127.93,31,4,4,Carbamidomethylation,9.083E7,5.6457E7,7.5207E7,6.4485E7,1.7471E7,1.1551E7,4.5717E7,2.6047E7,8.6702E7,5.4609E7,7.2101E7,6.2511E7,1.6938E7,1.1437E7,4.5117E7,2.573E7,1.20:0.76:1.00:0.87:0.23:0.16:0.63:0.36,7.1745E7,2.5248E7,6.8981E7,2.4857E7,1.00:0.36,14533,FBpp0087608
1492,2016,FBgn0029897,127.27,11,2,2,,5.219E7,2.2282E7,3.1278E7,4.7729E7,1.1243E7,5.3036E6,1.1838E7,9.2649E6,5.219E7,2.2282E7,3.1278E7,4.7729E7,1.1243E7,5.3036E6,1.1838E7,9.2649E6,1.67:0.71:1.00:1.53:0.36:0.17:0.38:0.30,3.8369E7,9.5902E6,3.8369E7,9.5902E6,1.00:0.25,21593,FBpp0070940
81,108,FBgn0041180,125.53,21,25,25,Oxidation (M),1.9312E7,2.9669E7,2.8226E7,3.3165E7,7.9835E7,9.887E7,5.838E7,5.5269E7,4.8668E6,1.0434E7,7.7102E6,1.0484E7,2.413E7,2.7831E7,2.626E7,1.7391E7,0.63:1.35:1.00:1.36:3.13:3.61:3.41:2.26,2.8821E7,7.8347E7,8.4664E6,2.3932E7,1.00:2.83,168757,FBpp0303747
783,1156,FBgn0036211,124.81,5,1,1,,1.4683E7,2.1013E4,4.6128E5,8.9512E5,4.2218E5,0,9.3719E4,1.0539E5,1.4683E7,2.1013E4,4.6128E5,8.9512E5,4.2218E5,0,9.3719E4,1.0539E5,31.83:0.05:1.00:1.94:0.92:0:0.20:0.23,4.015E6,2.071E5,4.015E6,2.071E5,1.00:0.05,37390,FBpp0310443
825,525,FBgn0026150,124.16,22,11,11,Carbamidomethylation; Oxidation (M),7.5392E6,1.2913E7,1.2222E7,1.0357E7,3.1259E7,1.8844E7,2.2225E7,1.8678E7,2.8369E6,4.9317E6,5.3074E6,4.1942E6,1.38E7,1.2009E7,1.2149E7,9.2969E6,0.53:0.93:1.00:0.79:2.60:2.26:2.29:1.75,1.0848E7,2.3003E7,4.3175E6,1.1814E7,1.00:2.74,68506,FBpp0080509
1117,1327,FBgn0027496,124.00,15,4,4,,2.1229E5,1.5133E7,1.4343E7,1.2716E7,4.3372E6,2.0783E6,6.1878E6,1.2329E6,2.1229E5,1.4795E7,1.4074E7,1.2441E7,4.2666E6,1.3183E6,6.141E6,1.2329E6,0.02:1.05:1.00:0.88:0.30:0.09:0.44:0.09,1.2932E7,3.7701E6,1.2638E7,3.4777E6,1.00:0.28,34619,FBpp0078891
1069,1800,FBgn0031692,123.68,11,2,2,,8.1938E6,9.7196E6,2.3111E7,5.0521E7,9.2915E5,1.8073E6,8.3285E6,8.6375E6,8.1938E6,9.7196E6,2.3111E7,5.0521E7,9.2915E5,1.8073E6,8.3285E6,8.6375E6,0.35:0.42:1.00:2.19:0.04:0.08:0.36:0.37,2.2886E7,4.9256E6,2.2886E7,4.9256E6,1.00:0.22,16796,FBpp0078699
47,5,FBgn0039241,122.73,65,37,37,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6.2977E8,5.9294E8,4.6132E8,3.3213E8,2.0223E9,1.1988E9,1.2509E9,9.5221E8,1.3655E8,1.3553E8,1.1114E8,7.5974E7,5.1379E8,2.525E8,2.7338E8,2.0907E8,1.23:1.22:1.00:0.68:4.62:2.27:2.46:1.88,5.0633E8,1.3596E9,1.1485E8,3.1265E8,1.00:2.72,63324,FBpp0084087
785,577,FBgn0034588,122.16,9,5,5,Carbamidomethylation,4.3498E5,1.1352E6,2.187E6,1.1195E6,1.7622E7,1.1485E7,2.8922E6,3.436E6,4.3498E5,6.4317E5,1.6343E6,1.0834E6,1.2917E7,9.0092E6,2.0206E6,1.8679E6,0.27:0.39:1.00:0.66:7.90:5.51:1.24:1.14,1.6307E6,9.3284E6,1.1669E6,6.9233E6,1.00:5.93,76707,FBpp0071495
1097,1550,FBgn0028697,122.09,35,7,7,Oxidation (M),7.1336E7,3.7682E7,4.0707E7,4.4296E7,2.469E7,5.7793E6,1.1955E7,2.1396E7,5.207E7,2.7883E7,2.8328E7,3.3364E7,1.6507E7,5.6878E6,9.9364E6,1.5743E7,1.84:0.98:1.00:1.18:0.58:0.20:0.35:0.56,4.8623E7,1.8053E7,3.5411E7,1.3156E7,1.00:0.37,24325,FBpp0112465
177,1,FBgn0035917,121.08,31,13,13,Oxidation (M); Deamidation (NQ),4.554E8,2.9716E8,3.8777E8,3.8524E8,8.4957E7,4.1104E7,1.8183E8,1.8995E8,3.0681E8,2.1913E8,2.5428E8,2.6218E8,6.6014E7,3.1868E7,1.3927E8,1.4894E8,1.21:0.86:1.00:1.03:0.26:0.13:0.55:0.59,3.816E8,1.2585E8,2.6078E8,9.7176E7,1.00:0.37,47597,FBpp0088529
112,102,FBgn0001233,120.99,43,30,30,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.3675E8,3.7827E8,3.6227E8,2.8804E8,9.3315E8,8.5647E8,4.7487E8,8.6803E8,9.3931E7,9.9676E7,9.7073E7,8.8522E7,2.7914E8,2.9108E8,1.5879E8,2.9439E8,0.97:1.03:1.00:0.91:2.88:3.00:1.64:3.03,3.4452E8,7.9109E8,9.4832E7,2.5606E8,1.00:2.70,81865,FBpp0072904
1289,1260,FBgn0030336,120.94,3,2,2,,4.3109E5,1.3816E6,9.1302E5,5.9939E5,4.5159E6,2.1099E6,2.9057E6,3.4789E6,4.3109E5,1.3816E6,9.1302E5,5.9939E5,4.5159E6,2.1099E6,2.9057E6,3.4789E6,0.47:1.51:1.00:0.66:4.95:2.31:3.18:3.81,8.3127E5,3.3554E6,8.3127E5,3.3554E6,1.00:4.04,97593,FBpp0073444
650,1568,FBgn0259209,120.20,10,6,6,Carbamidomethylation; Deamidation (NQ),5.3057E8,3.8463E8,3.8848E8,4.0747E8,4.9206E8,3.7219E8,1.3489E9,2.0664E9,4.6183E8,3.189E8,3.3565E8,3.7631E8,4.6412E8,3.4387E8,1.2567E9,1.95E9,1.38:0.95:1.00:1.12:1.38:1.02:3.74:5.81,4.3046E8,1.0699E9,3.7317E8,1.0037E9,1.00:2.69,52986,FBpp0288975
734,656,FBgn0037270,120.19,25,6,6,Carbamidomethylation,1.9341E7,1.7891E7,2.3971E7,1.8413E7,1.0679E7,8.2496E6,1.0568E7,8.7662E6,1.7109E7,1.627E7,2.1524E7,1.5549E7,6.8613E6,2.0945E6,8.6515E6,7.9845E6,0.79:0.76:1.00:0.72:0.32:0.10:0.40:0.37,2.0303E7,1.0241E7,1.8012E7,6.7096E6,1.00:0.37,31105,FBpp0078532
1362,1113,FBgn0003654,119.78,3,2,2,,3.3671E6,4.4672E6,4.1347E6,4.2377E6,3.7389E6,1.3767E4,1.4812E6,8.0319E5,3.3671E6,4.4672E6,4.1347E6,4.2377E6,3.7389E6,1.3767E4,1.4812E6,8.0319E5,0.81:1.08:1.00:1.02:0.90:0.02:0.36:0.19,4.0517E6,1.7524E6,4.0517E6,1.7524E6,1.00:0.43,73917,FBpp0088428
89,31,FBgn0001128,119.48,79,28,28,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.0633E9,1.041E9,1.0097E9,8.078E8,1.9994E9,2.9441E9,4.0141E9,3.1177E9,3.4274E8,3.4398E8,3.652E8,2.0811E8,6.3434E8,5.1812E8,1.356E9,8.6975E8,0.94:0.94:1.00:0.57:1.74:1.42:3.71:2.38,1.0052E9,3.1522E9,3.1606E8,8.7797E8,1.00:2.78,39329,FBpp0078777
442,398,FBgn0027080,118.83,37,18,18,Carbamidomethylation; Oxidation (M),2.4818E7,3.0745E7,2.6835E7,2.2079E7,1.1122E8,8.0281E7,4.9137E7,3.5169E7,5.7817E6,7.9453E6,9.8235E6,7.4625E6,3.6419E7,2.5887E7,1.4748E7,5.8553E6,0.59:0.81:1.00:0.76:3.71:2.64:1.50:0.60,2.8673E7,7.5406E7,9.3684E6,2.2733E7,1.00:2.43,58159,FBpp0075168
644,467,FBgn0024352,118.70,20,9,9,Oxidation (M),5.1904E6,1.1395E7,7.0534E6,7.0809E6,2.9102E7,2.2421E7,1.7055E7,1.1216E7,3.0902E6,6.5705E6,3.7328E6,3.3563E6,1.5223E7,1.2926E7,9.8208E6,6.783E6,0.83:1.76:1.00:0.90:4.08:3.46:2.63:1.82,7.9183E6,2.1489E7,4.1874E6,1.2247E7,1.00:2.92,55698,FBpp0077790
57,15,FBgn0000064,118.46,75,33,33,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.4381E9,2.9477E9,2.5742E9,2.3434E9,4.89E9,1.1918E10,1.1529E10,6.0227E9,7.8039E8,8.8008E8,8.1698E8,7.2644E8,1.6941E9,3.769E9,2.8167E9,1.8333E9,0.96:1.08:1.00:0.89:2.07:4.61:3.45:2.24,2.6329E9,8.7359E9,8.0554E8,2.5357E9,1.00:3.15,39561,FBpp0084373
517,645,FBgn0052528,118.44,9,3,3,,1.8583E5,8.9892E5,9.1282E5,1.4055E6,4.0346E6,4.3707E6,1.098E7,6.8675E6,1.8583E5,8.9892E5,9.1282E5,1.4055E6,4.0346E6,4.3707E6,1.098E7,6.8675E6,0.20:0.98:1.00:1.54:4.42:4.79:12.03:7.52,1.0594E6,6.5632E6,1.0594E6,6.5632E6,1.00:6.20,41863,FBpp0074562
777,782,FBgn0011745,117.23,25,8,8,Carbamidomethylation; Oxidation (M),1.0174E6,1.2599E7,1.9447E7,1.8484E7,1.7151E7,3.4829E6,3.8013E7,5.0205E7,5.5911E5,6.0212E6,1.0824E7,1.0303E7,1.189E7,2.4498E6,3.2142E7,2.9691E7,0.05:0.56:1.00:0.95:1.10:0.23:2.97:2.74,1.4829E7,3.1748E7,8.081E6,2.1234E7,1.00:2.63,42719,FBpp0082121
72,77,FBgn0267385,117.17,72,29,29,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.6906E8,6.952E8,2.298E8,2.77E8,8.2313E8,2.0845E9,4.9499E8,5.0608E8,4.7484E7,1.845E8,7.507E7,7.8603E7,2.0863E8,5.4799E8,1.4814E8,1.1872E8,0.63:2.46:1.00:1.05:2.78:7.30:1.97:1.58,3.5032E8,1.0018E9,9.6748E7,2.5665E8,1.00:2.65,57440,FBpp0083611
1041,1590,FBgn0004687,117.15,24,3,3,,3.3244E6,2.742E6,6.015E6,3.1764E6,8.394E5,3.3639E5,2.5671E6,2.0071E6,3.3244E6,2.742E6,6.015E6,3.1764E6,8.394E5,3.3639E5,2.5671E6,2.0071E6,0.55:0.46:1.00:0.53:0.14:0.06:0.43:0.33,3.8144E6,1.5216E6,3.8144E6,1.5216E6,1.00:0.40,17497,FBpp0300803
540,367,FBgn0036298,116.71,20,9,9,Carbamidomethylation; Deamidation (NQ),5.1493E6,8.2317E6,7.3327E6,7.4452E6,3.112E7,2.2992E7,1.6122E7,8.9441E6,4.7856E6,6.4778E6,6.0962E6,5.7824E6,2.3227E7,1.9661E7,1.1129E7,7.273E6,0.79:1.06:1.00:0.95:3.81:3.23:1.83:1.19,7.2852E6,1.9975E7,5.7855E6,1.5322E7,1.00:2.65,60581,FBpp0075699
487,431,FBgn0034709,115.72,3,1,1,,2.0821E6,3.352E6,1.6252E6,1.0204E6,4.1089E5,0,1.5949E6,0,2.0821E6,3.352E6,1.6252E6,1.0204E6,4.1089E5,0,1.5949E6,0,1.28:2.06:1.00:0.63:0.25:0:0.98:0,2.0199E6,1.0029E6,2.0199E6,1.0029E6,1.00:0.50,48787,FBpp0071697
211,60,FBgn0004057,115.33,49,19,19,Carbamidomethylation; Oxidation (M),2.8235E7,4.1434E7,3.2362E7,2.6962E7,1.1993E8,9.7463E7,8.4578E7,6.2088E7,1.1605E7,1.449E7,1.2406E7,9.8283E6,3.4436E7,3.9084E7,2.7239E7,2.6449E7,0.94:1.17:1.00:0.79:2.78:3.15:2.20:2.13,3.2924E7,9.1812E7,1.2172E7,3.2362E7,1.00:2.66,60415,FBpp0074517
440,2373,FBgn0002593,115.16,71,6,6,Carbamidomethylation,1.4995E8,1.5352E8,1.5293E8,1.4571E8,3.2345E7,3.0091E7,1.0294E8,8.7473E7,1.4353E8,1.4718E8,1.4482E8,1.4179E8,3.084E7,2.7771E7,8.3172E7,7.7725E7,0.99:1.02:1.00:0.98:0.21:0.19:0.57:0.54,1.5056E8,6.3469E7,1.4433E8,5.4877E7,1.00:0.38,11513,FBpp0077716
1104,780,FBgn0037955,114.78,4,2,2,,2.4651E4,3.3383E5,5.549E5,2.3623E5,3.7832E6,2.1267E6,8.2021E6,5.6416E6,2.4651E4,3.3383E5,5.549E5,2.3623E5,3.7832E6,2.1267E6,8.2021E6,5.6416E6,0.04:0.60:1.00:0.43:6.82:3.83:14.78:10.17,3.832E5,5.4944E6,3.832E5,5.4944E6,1.00:14.34,51202,FBpp0081993
317,906,FBgn0015756,114.74,62,10,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.6505E8,1.9795E8,2.729E8,1.2368E8,6.7101E7,2.2522E7,7.2067E7,1.3808E8,2.2238E8,1.3341E8,1.7394E8,9.4733E7,4.486E7,1.5924E7,4.8271E7,5.4988E7,1.28:0.77:1.00:0.54:0.26:0.09:0.28:0.32,2.523E8,1.043E8,1.5919E8,5.4413E7,1.00:0.34,21392,FBpp0079752
124,287,FBgn0003721,114.18,18,16,16,Carbamidomethylation; Oxidation (M),2.0979E9,1.5688E9,2.1826E9,2.5449E9,9.6836E7,9.6094E7,1.2291E8,1.0231E8,1.3603E9,8.571E8,1.1277E9,1.1915E9,3.49E7,5.2603E7,4.5252E7,4.4439E7,1.21:0.76:1.00:1.06:0.03:0.05:0.04:0.04,2.1014E9,1.2265E8,1.1341E9,5.1146E7,1.00:0.05,80053,FBpp0088904
766,519,FBgn0037301,113.60,8,7,7,,2.4704E6,1.8573E6,1.8597E6,1.863E6,9.905E6,6.7321E6,2.5673E6,6.2609E6,1.9586E6,1.5584E6,1.0201E6,6.6591E5,5.2546E6,4.0648E6,1.5353E6,5.1517E6,1.92:1.53:1.00:0.65:5.15:3.98:1.51:5.05,2.3972E6,6.8094E6,1.4498E6,4.0016E6,1.00:2.76,107048,FBpp0078425
65,253,FBgn0001092,113.56,43,9,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),4.9972E8,5.0516E8,6.3765E8,6.7289E8,1.2244E9,1.3948E9,2.5046E9,1.3739E9,2.9543E8,2.7125E8,3.9782E8,4.1596E8,8.9425E8,1.0143E9,1.9207E9,1.1804E9,0.74:0.68:1.00:1.05:2.25:2.55:4.83:2.97,6.0766E8,1.683E9,3.4707E8,1.2558E9,1.00:3.62,35369,FBpp0073922
1522,2025,FBgn0040077,113.25,25,3,3,Oxidation (M),3.2356E6,3.5832E6,3.9768E6,3.7053E6,3.1429E6,3.357E6,1.3154E7,1.8158E7,3.2356E6,3.5832E6,3.9768E6,3.7053E6,3.1429E6,3.357E6,1.3154E7,1.8158E7,0.81:0.90:1.00:0.93:0.79:0.84:3.31:4.57,3.6252E6,9.4528E6,3.6252E6,9.4528E6,1.00:2.61,17556,FBpp0099893
375,734,FBgn0004888,112.50,31,9,9,Carbamidomethylation,1.7361E8,8.7845E7,6.3066E7,7.1586E7,1.0667E7,4.6639E6,1.9174E7,9.212E6,4.9534E7,8.4357E7,6.1391E7,6.9153E7,7.14E6,4.6461E6,9.8935E6,6.3433E6,0.81:1.37:1.00:1.13:0.12:0.08:0.16:0.10,1.0656E8,1.305E7,6.6109E7,7.6797E6,1.00:0.12,34389,FBpp0073010
1387,1551,FBgn0042186,111.35,12,3,3,,1.6107E6,9.4972E5,2.4211E6,6.5529E5,6.0031E5,2.325E5,4.6628E6,1.3947E7,1.6107E6,9.4972E5,2.4211E6,6.5529E5,6.0031E5,2.325E5,4.6628E6,1.3947E7,0.67:0.39:1.00:0.27:0.25:0.10:1.93:5.76,1.5036E6,5.1051E6,1.5036E6,5.1051E6,1.00:3.40,26745,FBpp0077482
781,487,FBgn0003371,108.77,9,8,8,Carbamidomethylation; Oxidation (M),5.3131E6,1.09E7,5.8596E6,7.0071E6,3.3108E7,3.376E7,4.7673E6,6.8683E6,3.1228E6,6.5118E6,4.152E6,5.144E6,1.9761E7,2.2037E7,2.9808E6,3.5816E6,0.75:1.57:1.00:1.24:4.76:5.31:0.72:0.86,7.3317E6,2.3704E7,4.7327E6,1.6125E7,1.00:3.41,123772,FBpp0304140
170,503,FBgn0002789,108.73,85,29,29,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.794E9,1.154E9,1.2376E9,1.1407E9,2.6685E9,1.6339E9,5.008E9,3.6015E9,8.4155E8,5.6151E8,6.1077E8,5.5674E8,1.5661E9,8.5141E8,2.3473E9,1.8009E9,1.38:0.92:1.00:0.91:2.56:1.39:3.84:2.95,1.3402E9,3.2552E9,6.4297E8,1.6433E9,1.00:2.56,20702,FBpp0311634
504,552,FBgn0000536,107.33,21,9,9,Deamidation (NQ),7.4162E6,1.0123E7,9.6609E6,1.0659E7,2.5668E7,2.214E7,2.6987E7,1.9897E7,3.9321E6,5.9259E6,4.8517E6,5.7952E6,1.3944E7,1.3604E7,1.4723E7,1.044E7,0.81:1.22:1.00:1.19:2.87:2.80:3.03:2.15,1.0498E7,2.3975E7,5.4415E6,1.3178E7,1.00:2.42,56842,FBpp0073993
380,388,FBgn0014427,104.90,60,17,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.7807E8,1.8272E8,1.5625E8,1.1415E8,3.6304E8,7.7028E8,5.401E8,4.0221E8,8.0859E7,8.1947E7,6.1226E7,4.6655E7,1.4766E8,3.8817E8,2.4805E8,1.8673E8,1.32:1.34:1.00:0.76:2.41:6.34:4.05:3.05,1.6583E8,5.5197E8,6.7672E7,2.4288E8,1.00:3.59,39540,FBpp0084759
1256,2366,FBgn0261596,104.35,26,3,3,,6.6027E7,7.1281E7,7.175E7,5.0989E7,1.5343E7,9.0978E6,5.1688E7,2.7788E7,6.6027E7,7.1281E7,7.175E7,5.0989E7,1.5343E7,9.0978E6,5.1688E7,2.7788E7,0.92:0.99:1.00:0.71:0.21:0.13:0.72:0.39,6.5012E7,2.5979E7,6.5012E7,2.5979E7,1.00:0.40,15048,FBpp0071846
1660,2403,FBgn0039300,104.29,38,3,3,Carbamidomethylation; Oxidation (M),6.0043E7,4.448E7,4.4273E7,4.8866E7,8.6481E6,6.7057E6,2.9942E7,3.3713E7,6.0043E7,4.448E7,4.4273E7,4.8866E7,8.6481E6,6.7057E6,2.9942E7,3.3713E7,1.36:1.00:1.00:1.10:0.20:0.15:0.68:0.76,4.9416E7,1.9752E7,4.9416E7,1.9752E7,1.00:0.40,9364,FBpp0084242
147,120,FBgn0029176,104.20,24,10,10,,3.0808E7,2.8879E7,2.6719E7,1.8304E7,1.0711E8,3.7549E6,2.2504E8,2.0982E8,2.7075E7,2.0255E7,2.0027E7,1.3024E7,6.4491E7,1.195E6,1.2972E8,1.551E8,1.35:1.01:1.00:0.65:3.22:0.06:6.48:7.74,2.6968E7,1.6639E8,2.0275E7,1.0819E8,1.00:5.34,48968,FBpp0084761
195,194,FBgn0087013,103.63,28,22,22,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.3121E7,2.9713E7,3.099E7,2.8878E7,1.6134E8,2.0416E7,5.4318E7,3.3004E7,8.4005E6,1.0012E7,9.08E6,8.3003E6,4.6341E7,9.7751E6,1.9827E7,1.3321E7,0.93:1.10:1.00:0.91:5.10:1.08:2.18:1.47,2.938E7,7.228E7,9.0624E6,2.2611E7,1.00:2.50,123561,FBpp0078500
73,126,FBgn0086450,102.83,52,43,43,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.5215E8,1.501E8,1.498E8,1.3511E8,5.3517E8,1.731E8,2.1222E8,4.0961E8,3.6559E7,2.9109E7,2.979E7,2.0247E7,1.0729E8,3.7179E7,4.3901E7,9.9094E7,1.23:0.98:1.00:0.68:3.60:1.25:1.47:3.33,1.5048E8,3.4872E8,2.9178E7,7.772E7,1.00:2.66,111225,FBpp0071273
413,217,FBgn0003261,101.98,14,9,9,Carbamidomethylation,1.4978E7,2.7469E7,2.3368E7,2.5856E7,5.5023E6,1.2655E7,8.8837E6,6.1769E6,8.9865E6,1.3184E7,1.2471E7,1.2105E7,3.1806E6,7.1023E6,5.5652E6,3.0436E6,0.72:1.06:1.00:0.97:0.26:0.57:0.45:0.24,2.4291E7,8.8159E6,1.1687E7,4.9555E6,1.00:0.42,78548,FBpp0078301
559,1784,FBgn0000308,101.89,73,6,6,Carbamidomethylation; Deamidation (NQ),7.6264E7,6.8877E7,6.652E7,6.9564E7,8.5859E7,7.2574E7,2.928E8,2.7624E8,6.7742E7,5.9884E7,6.2855E7,6.2957E7,7.3365E7,6.2033E7,2.5253E8,2.3893E8,1.08:0.95:1.00:1.00:1.17:0.99:4.02:3.80,7.0384E7,1.8189E8,6.3438E7,1.5674E8,1.00:2.47,13723,FBpp0078864
108,103,FBgn0023143,101.84,26,25,25,Carbamidomethylation; Oxidation (M); Deamidation (NQ),5.186E7,6.3033E7,6.9495E7,6.2102E7,1.861E8,6.4145E7,7.8199E7,1.1706E8,1.1527E7,1.4095E7,1.5291E7,1.6424E7,6.2222E7,1.44E7,2.5585E7,3.9576E7,0.75:0.92:1.00:1.07:4.07:0.94:1.67:2.59,6.2782E7,1.1521E8,1.4334E7,3.5786E7,1.00:2.50,130758,FBpp0087583
359,456,FBgn0261436,101.66,6,2,2,,0,5.6541E5,2.9599E5,4.6501E4,8.3974E6,0,1.3346E7,2.496E7,0,5.6541E5,2.9599E5,4.6501E4,8.3974E6,0,1.3346E7,2.496E7,0:1.91:1.00:0.16:28.37:0:45.09:64.00,3.4271E5,1.5568E7,3.4271E5,1.5568E7,1.00:45.43,48885,FBpp0078625
1469,1882,FBgn0034724,101.42,21,4,4,Carbamidomethylation,1.4908E7,1.5139E7,1.5636E7,1.2981E7,5.9616E6,1.6151E6,6.7021E6,8.3455E6,1.3197E7,1.3873E7,1.4384E7,1.1759E7,5.5881E6,1.6151E6,6.4905E6,7.8698E6,0.92:0.96:1.00:0.82:0.39:0.11:0.45:0.55,1.4666E7,5.7445E6,1.3303E7,5.3909E6,1.00:0.41,20467,FBpp0071756
883,526,FBgn0285925,101.36,6,3,3,,3.3021E6,7.2925E6,7.6171E6,7.3662E6,4.0177E6,1.1998E6,2.0361E6,8.7808E5,3.3021E6,7.2925E6,7.6171E6,7.3662E6,4.0177E6,1.1998E6,2.0361E6,8.7808E5,0.43:0.96:1.00:0.97:0.53:0.16:0.27:0.12,6.5886E6,2.1289E6,6.5886E6,2.1289E6,1.00:0.32,73733,FBpp0111715
489,422,FBgn0031020,100.28,21,17,17,Oxidation (M); Deamidation (NQ),8.8597E6,1.1884E7,1.2687E7,1.226E7,3.344E7,2.7123E7,1.369E7,3.9279E7,3.2031E6,4.1086E6,4.8513E6,3.8735E6,9.5055E6,1.103E7,3.6226E6,1.5201E7,0.66:0.85:1.00:0.80:1.96:2.27:0.75:3.13,1.1675E7,2.8611E7,4.0091E6,9.8399E6,1.00:2.45,103092,FBpp0074480
