Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,FRT_U1 Area,FRT_U2 Area,FRT_PM2 Area,FRT_PM1 Area,FRT_U1 Area (top-3 peptides),FRT_U2 Area (top-3 peptides),FRT_PM2 Area (top-3 peptides),FRT_PM1 Area (top-3 peptides),Sample Profile (Ratio),Tissue_U Area,Tissue_PM Area,Tissue_U Area (top-3 peptides),Tissue_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
1741,1293,FBgn0029870,3.60,3,2,2,Oxidation (M),9.5622E5,7.6864E5,1.4741E6,1.5568E6,9.5622E5,7.6864E5,1.4741E6,1.5568E6,1.24:1.00:1.92:2.03,8.6243E5,1.5155E6,8.6243E5,1.5155E6,1.00:1.76,91814,FBpp0310030
2090,2416,FBgn0004179,3.58,6,1,1,Oxidation (M),2.2017E5,4.7117E5,7.3106E5,1.089E6,2.2017E5,4.7117E5,7.3106E5,1.089E6,0.47:1.00:1.55:2.31,3.4567E5,9.1001E5,3.4567E5,9.1001E5,1.00:2.63,26897,FBpp0078146
547,578,FBgn0287182,3.58,2,4,4,,5.6185E5,1.7606E6,1.741E6,2.1389E6,5.4123E5,1.5107E6,1.5644E6,1.8065E6,0.36:1.00:1.04:1.20,1.1612E6,1.94E6,1.0259E6,1.6854E6,1.00:1.64,293908,FBpp0112471
816,694,FBgn0260632,3.58,2,1,1,,2.897E5,1.6359E5,4.6793E5,9.7159E5,2.897E5,1.6359E5,4.6793E5,9.7159E5,1.77:1.00:2.86:5.94,2.2665E5,7.1976E5,2.2665E5,7.1976E5,1.00:3.18,111551,FBpp0309222
2717,5463,FBgn0267253,3.57,6,1,1,,2.4445E4,3.7114E4,1.2124E5,1.0785E5,2.4445E4,3.7114E4,1.2124E5,1.0785E5,0.66:1.00:3.27:2.91,3.078E4,1.1455E5,3.078E4,1.1455E5,1.00:3.72,23283,FBpp0071308
1671,1846,FBgn0026634,3.57,2,1,1,,6.981E4,1.9994E5,2.6678E5,2.3124E5,6.981E4,1.9994E5,2.6678E5,2.3124E5,0.35:1.00:1.33:1.16,1.3488E5,2.4901E5,1.3488E5,2.4901E5,1.00:1.85,81136,FBpp0082568
1756,2781,FBgn0030544,3.56,9,1,1,,9.4621E5,5.9575E5,3.9221E5,4.1548E5,9.4621E5,5.9575E5,3.9221E5,4.1548E5,1.59:1.00:0.66:0.70,7.7098E5,4.0384E5,7.7098E5,4.0384E5,1.00:0.52,16799,FBpp0073745
1614,1411,FBgn0261565,3.56,1,2,2,,6.0033E5,9.4281E5,1.8813E6,1.4293E6,6.0033E5,9.4281E5,1.8813E6,1.4293E6,0.64:1.00:2.00:1.52,7.7157E5,1.6553E6,7.7157E5,1.6553E6,1.00:2.15,245498,FBpp0291926
1891,2702,FBgn0000562,3.56,2,1,1,,7.466E4,1.3968E5,2.9288E5,4.9373E5,7.466E4,1.3968E5,2.9288E5,4.9373E5,0.53:1.00:2.10:3.53,1.0717E5,3.9331E5,1.0717E5,3.9331E5,1.00:3.67,112129,FBpp0113078
1732,1828,FBgn0263930,3.55,2,1,1,,6.1339E5,2.0448E5,2.0798E5,2.1311E5,6.1339E5,2.0448E5,2.0798E5,2.1311E5,3.00:1.00:1.02:1.04,4.0894E5,2.1055E5,4.0894E5,2.1055E5,1.00:0.51,69031,FBpp0076310
289,241,FBgn0004657,3.55,26,17,17,Carbamidomethylation; Oxidation (M),3.8638E7,4.9342E7,6.681E7,6.6233E7,2.2326E7,2.9812E7,3.9675E7,3.9854E7,0.75:1.00:1.33:1.34,4.399E7,6.6521E7,2.6069E7,3.9765E7,1.00:1.53,92657,FBpp0071061
884,1704,FBgn0043535,3.54,37,5,5,Carbamidomethylation,8.6013E7,4.8195E7,4.7119E7,3.7162E7,7.9589E7,4.4418E7,3.9535E7,3.4317E7,1.79:1.00:0.89:0.77,6.7104E7,4.214E7,6.2003E7,3.6926E7,1.00:0.60,19462,FBpp0085606
1279,2184,FBgn0086710,3.53,11,1,1,,2.834E5,8.2926E4,1.376E5,4.8172E5,2.834E5,8.2926E4,1.376E5,4.8172E5,3.42:1.00:1.66:5.81,1.8316E5,3.0966E5,1.8316E5,3.0966E5,1.00:1.69,12234,FBpp0291653
689,513,FBgn0041713,3.52,11,4,4,,2.262E6,9.7018E5,2.7446E6,3.2237E6,2.168E6,9.1808E5,2.5394E6,2.8412E6,2.36:1.00:2.77:3.09,1.6161E6,2.9841E6,1.543E6,2.6903E6,1.00:1.74,49246,FBpp0080260
1001,1084,FBgn0004779,3.51,27,4,4,,6.4915E6,2.8472E6,4.8112E6,8.8858E5,6.4627E6,2.7632E6,4.6761E6,7.3303E5,2.34:1.00:1.69:0.27,4.6694E6,2.8499E6,4.613E6,2.7046E6,1.00:0.59,21340,FBpp0081192
2099,3109,FBgn0262519,3.51,1,1,1,,3.7673E5,5.0504E5,6.2953E5,8.7812E5,3.7673E5,5.0504E5,6.2953E5,8.7812E5,0.75:1.00:1.25:1.74,4.4088E5,7.5382E5,4.4088E5,7.5382E5,1.00:1.71,224327,FBpp0099808
722,1036,FBgn0034354,3.50,28,6,6,Carbamidomethylation,2.4452E7,1.5813E7,1.8529E7,5.0382E6,1.5413E7,1.1665E7,1.3835E7,2.5504E6,1.32:1.00:1.19:0.22,2.0132E7,1.1784E7,1.3539E7,8.1925E6,1.00:0.61,25094,FBpp0085876
998,1090,FBgn0031479,3.48,27,4,4,,9.4369E6,6.1105E6,5.6624E6,3.7267E6,9.2027E6,6.0167E6,5.4953E6,3.6812E6,1.53:1.00:0.91:0.61,7.7737E6,4.6945E6,7.6097E6,4.5882E6,1.00:0.60,24846,FBpp0077368
1643,1829,FBgn0038065,3.46,34,6,6,,6.2053E6,4.1638E6,2.759E6,3.6004E6,4.7997E6,3.0277E6,2.0508E6,2.5586E6,1.59:1.00:0.68:0.85,5.1845E6,3.1797E6,3.9137E6,2.3047E6,1.00:0.59,19436,FBpp0082110
31,110,FBgn0011722,3.46,40,79,79,Oxidation (M); Deamidation (NQ),2.9846E8,4.0883E8,4.6656E8,5.1067E8,2.8583E7,3.4376E7,4.1569E7,4.3455E7,0.83:1.00:1.21:1.26,3.5364E8,4.8862E8,3.1479E7,4.2512E7,1.00:1.35,257443,FBpp0078905
1873,2187,FBgn0036454,3.46,1,1,1,,9.0981E4,1.8518E5,2.7886E5,2.344E5,9.0981E4,1.8518E5,2.7886E5,2.344E5,0.49:1.00:1.51:1.27,1.3808E5,2.5663E5,1.3808E5,2.5663E5,1.00:1.86,178527,FBpp0075445
999,1214,FBgn0013325,3.44,34,7,7,Carbamidomethylation; Deamidation (NQ),1.0694E8,5.9683E7,5.7795E7,6.1418E7,9.9548E7,5.6161E7,5.3913E7,5.6997E7,1.77:1.00:0.96:1.01,8.331E7,5.9606E7,7.7854E7,5.5455E7,1.00:0.71,21112,FBpp0085717
912,762,FBgn0029118,3.44,4,1,1,,1.1781E5,1.8025E5,3.9207E5,6.9976E5,1.1781E5,1.8025E5,3.9207E5,6.9976E5,0.65:1.00:2.18:3.88,1.4903E5,5.4592E5,1.4903E5,5.4592E5,1.00:3.66,45038,FBpp0076840
1298,874,FBgn0262739,3.40,4,3,3,Carbamidomethylation; Oxidation (M),3.2275E5,3.6755E5,5.6524E5,6.4689E5,3.2275E5,3.6755E5,5.6524E5,6.4689E5,0.88:1.00:1.54:1.76,3.4515E5,6.0607E5,3.4515E5,6.0607E5,1.00:1.76,109830,FBpp0086738
1425,919,FBgn0036888,3.39,5,3,3,Oxidation (M),3.6657E5,1.9567E6,1.9127E6,2.0964E6,3.6657E5,1.9567E6,1.9127E6,2.0964E6,0.19:1.00:0.98:1.07,1.1617E6,2.0045E6,1.1617E6,2.0045E6,1.00:1.73,79486,FBpp0074708
506,288,FBgn0266758,3.39,13,9,9,Oxidation (M),5.6105E6,1.0622E7,1.1411E7,1.2597E7,4.022E6,6.7491E6,7.3675E6,8.4952E6,0.60:1.00:1.09:1.26,8.1164E6,1.2004E7,5.3856E6,7.9314E6,1.00:1.47,94852,FBpp0297166
1148,1531,FBgn0042187,3.38,19,4,4,Carbamidomethylation,8.018E6,9.7239E6,2.0896E7,1.5538E7,7.9469E6,9.5382E6,2.0043E7,8.4344E6,0.83:1.00:2.10:0.88,8.871E6,1.8217E7,8.7425E6,1.4239E7,1.00:1.63,27516,FBpp0077433
500,404,FBgn0026428,3.38,1,2,2,,1.1445E6,1.1289E6,7.9224E5,5.3835E5,1.1445E6,1.1289E6,7.9224E5,5.3835E5,1.01:1.00:0.70:0.48,1.1367E6,6.653E5,1.1367E6,6.653E5,1.00:0.59,130904,FBpp0303431
1625,1618,FBgn0039130,3.36,3,1,1,,8.7667E5,9.6234E5,4.4028E5,3.1221E5,8.7667E5,9.6234E5,4.4028E5,3.1221E5,0.91:1.00:0.46:0.32,9.1951E5,3.7624E5,9.1951E5,3.7624E5,1.00:0.41,41802,FBpp0083882
1987,1990,FBgn0033309,3.36,12,4,4,,1.8267E6,1.5348E6,2.5336E6,3.3158E6,1.4639E6,1.1954E6,2.0323E6,2.5632E6,1.22:1.00:1.70:2.14,1.6808E6,2.9247E6,1.3297E6,2.2977E6,1.00:1.73,43638,FBpp0087809
848,1339,FBgn0034968,3.36,50,7,7,Carbamidomethylation,8.1057E7,7.4054E7,2.8671E7,5.8747E7,6.2914E7,5.3386E7,2.2013E7,4.6896E7,1.18:1.00:0.41:0.88,7.7556E7,4.3709E7,5.815E7,3.4455E7,1.00:0.59,17674,FBpp0072084
1358,1401,FBgn0264743,3.35,35,5,5,Carbamidomethylation; Oxidation (M),5.1474E6,3.4186E6,3.4993E6,1.5975E6,4.5901E6,3.1697E6,3.1646E6,1.4091E6,1.45:1.00:1.00:0.44,4.283E6,2.5484E6,3.8799E6,2.2869E6,1.00:0.59,20426,FBpp0306241
378,426,FBgn0034405,3.35,24,8,8,Oxidation (M),1.4542E7,1.2405E7,1.7156E7,2.7068E7,9.6593E6,7.477E6,1.1873E7,1.6098E7,1.29:1.00:1.59:2.15,1.3473E7,2.2112E7,8.5681E6,1.3986E7,1.00:1.63,52006,FBpp0088908
80,20,FBgn0003076,3.35,57,29,29,Carbamidomethylation; Oxidation (M); Deamidation (NQ),5.8582E8,6.9127E8,4.8163E8,3.7898E8,1.8788E8,1.9948E8,1.5043E8,1.1597E8,0.94:1.00:0.75:0.58,6.3854E8,4.3031E8,1.9368E8,1.332E8,1.00:0.69,60766,FBpp0075247
1134,1765,FBgn0053905,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091150
1134,1766,FBgn0013981,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0082421
1134,1767,FBgn0053883,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091128
1134,1768,FBgn0053889,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091134
1134,1769,FBgn0053901,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091146
1134,1770,FBgn0053871,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091116
1134,1771,FBgn0053885,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091130
1134,1772,FBgn0053887,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091132
1134,1773,FBgn0053899,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091144
1134,1774,FBgn0053873,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091118
1134,1775,FBgn0053875,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091120
1134,1776,FBgn0053897,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091142
1134,1777,FBgn0053903,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091148
1134,1778,FBgn0053891,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091136
1134,1779,FBgn0053907,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091152
1134,1780,FBgn0053893,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091138
1134,1781,FBgn0053909,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091154
1134,1782,FBgn0053895,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0091140
1134,1783,FBgn0051611,3.35,27,3,3,,5.376E6,3.4092E6,2.8954E6,2.3835E6,5.376E6,3.4092E6,2.8954E6,2.3835E6,1.58:1.00:0.85:0.70,4.3926E6,2.6395E6,4.3926E6,2.6395E6,1.00:0.60,11381,FBpp0085280
477,476,FBgn0013763,3.34,21,8,8,,1.1133E7,7.0206E6,1.3008E7,1.8199E7,5.1732E6,4.8473E6,6.5138E6,9.8975E6,1.07:1.00:1.34:2.04,9.0768E6,1.5603E7,5.0102E6,8.2056E6,1.00:1.64,50354,FBpp0086257
1783,1707,FBgn0044871,3.34,12,2,2,,1.9869E6,7.6558E5,8.9365E5,7.2062E5,1.9869E6,7.6558E5,8.9365E5,7.2062E5,2.60:1.00:1.17:0.94,1.3762E6,8.0713E5,1.3762E6,8.0713E5,1.00:0.59,25562,FBpp0083076
1956,2183,FBgn0000259,3.34,14,2,2,,1.4782E6,5.4986E5,2.5942E6,1.5859E6,1.4782E6,5.4986E5,2.5942E6,1.5859E6,2.69:1.00:4.72:2.88,1.014E6,2.0901E6,1.014E6,2.0901E6,1.00:2.06,27088,FBpp0089135
634,564,FBgn0032010,3.33,4,5,5,,9.6246E6,2.5729E6,3.5458E6,3.7203E6,9.4055E6,1.8965E6,2.8235E6,3.1521E6,4.96:1.00:1.49:1.66,6.0988E6,3.633E6,5.651E6,2.9878E6,1.00:0.53,175283,FBpp0304636
1,82,FBgn0005666,3.32,48,353,353,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.5416E9,4.2281E9,3.8821E9,5.0348E9,7.8665E7,1.4161E8,1.4315E8,2.0783E8,0.56:1.00:1.01:1.47,3.3849E9,4.4584E9,1.1014E8,1.7549E8,1.00:1.59,1000102,FBpp0290554
575,382,FBgn0027588,3.32,11,7,7,,5.3214E6,7.944E6,9.6698E6,9.6709E6,3.4741E6,5.4123E6,7.3626E6,7.2609E6,0.64:1.00:1.36:1.34,6.6327E6,9.6704E6,4.4432E6,7.3117E6,1.00:1.65,105731,FBpp0070057
1290,1137,FBgn0037094,3.31,2,1,1,,4.3846E5,2.0487E6,2.7421E6,1.601E6,4.3846E5,2.0487E6,2.7421E6,1.601E6,0.21:1.00:1.34:0.78,1.2436E6,2.1716E6,1.2436E6,2.1716E6,1.00:1.75,69617,FBpp0078015
2338,3642,FBgn0000611,3.30,4,1,1,Oxidation (M),3.6582E5,1.4226E5,1.2822E5,6.4522E4,3.6582E5,1.4226E5,1.2822E5,6.4522E4,2.57:1.00:0.90:0.45,2.5404E5,9.6371E4,2.5404E5,9.6371E4,1.00:0.38,41692,FBpp0073942
687,592,FBgn0001987,3.30,5,4,4,Oxidation (M),1.5731E6,1.752E6,2.8356E6,2.6934E6,1.3106E6,1.43E6,2.4003E6,2.2588E6,0.92:1.00:1.68:1.58,1.6625E6,2.7645E6,1.3703E6,2.3296E6,1.00:1.70,109239,FBpp0080324
1416,1118,FBgn0036365,3.30,1,2,2,,6.5594E5,7.1789E5,1.1228E6,1.1385E6,6.5594E5,7.1789E5,1.1228E6,1.1385E6,0.91:1.00:1.56:1.59,6.8692E5,1.1306E6,6.8692E5,1.1306E6,1.00:1.65,183992,FBpp0075586
785,892,FBgn0004926,3.29,14,4,4,Carbamidomethylation; Oxidation (M),1.379E6,8.7434E6,6.759E6,9.8113E6,1.0287E6,8.5245E6,6.5242E6,9.6846E6,0.12:1.00:0.77:1.14,5.0612E6,8.2851E6,4.7766E6,8.1044E6,1.00:1.70,35218,FBpp0075700
1883,2244,FBgn0037815,3.29,6,1,1,,6.9175E4,5.8585E5,3.9809E5,1.025E6,6.9175E4,5.8585E5,3.9809E5,1.025E6,0.12:1.00:0.68:1.75,3.2751E5,7.1153E5,3.2751E5,7.1153E5,1.00:2.17,25738,FBpp0081725
1073,978,FBgn0038516,3.29,23,5,5,Oxidation (M),2.1034E7,1.7859E7,1.2374E7,1.4984E7,1.5918E7,1.3457E7,7.4927E6,1.0772E7,1.18:1.00:0.56:0.80,1.9446E7,1.3679E7,1.4687E7,9.1321E6,1.00:0.62,28100,FBpp0082895
528,461,FBgn0035630,3.28,27,11,11,Carbamidomethylation; Oxidation (M),5.3646E7,2.0223E7,4.332E7,5.1507E7,2.8816E7,1.0764E7,2.5824E7,2.9197E7,2.68:1.00:2.40:2.71,3.6934E7,4.7413E7,1.979E7,2.7511E7,1.00:1.39,42773,FBpp0076827
1818,2621,FBgn0003660,3.28,16,2,2,,3.1996E6,1.4525E6,1.3547E6,1.2815E6,3.1996E6,1.4525E6,1.3547E6,1.2815E6,2.20:1.00:0.93:0.88,2.326E6,1.3181E6,2.326E6,1.3181E6,1.00:0.57,16712,FBpp0271782
1222,1161,FBgn0051092,3.28,2,2,2,,4.7052E5,5.261E5,9.8631E5,7.7939E5,4.7052E5,5.261E5,9.8631E5,7.7939E5,0.89:1.00:1.87:1.48,4.9831E5,8.8285E5,4.9831E5,8.8285E5,1.00:1.77,116976,FBpp0112298
1765,2245,FBgn0034035,3.26,11,4,4,,2.2583E6,1.1075E6,2.3455E6,3.4226E6,2.0316E6,9.7593E5,2.0997E6,2.9613E6,2.08:1.00:2.15:3.03,1.6829E6,2.884E6,1.5038E6,2.5305E6,1.00:1.68,48110,FBpp0086475
1019,810,FBgn0033235,3.25,4,2,2,,1.5019E6,4.2572E5,1.9654E6,1.3643E6,1.5019E6,4.2572E5,1.9654E6,1.3643E6,3.53:1.00:4.62:3.20,9.6381E5,1.6649E6,9.6381E5,1.6649E6,1.00:1.73,61050,FBpp0087958
534,399,FBgn0039349,3.25,17,8,8,Oxidation (M),2.5545E7,7.1723E6,2.1967E7,2.5071E7,1.4179E7,4.3639E6,1.2902E7,1.4004E7,3.25:1.00:2.96:3.21,1.6359E7,2.3519E7,9.2717E6,1.3453E7,1.00:1.45,54974,FBpp0084265
1308,1094,FBgn0032246,3.23,5,2,2,Oxidation (M),1.541E5,3.7196E6,2.9758E6,3.6329E6,1.541E5,3.7196E6,2.9758E6,3.6329E6,0.04:1.00:0.80:0.98,1.9368E6,3.3043E6,1.9368E6,3.3043E6,1.00:1.71,46190,FBpp0079610
1105,1327,FBgn0027496,3.23,6,2,2,,2.5453E5,5.4508E6,5.5001E6,4.2995E6,2.5453E5,5.4508E6,5.5001E6,4.2995E6,0.05:1.00:1.01:0.79,2.8527E6,4.8998E6,2.8527E6,4.8998E6,1.00:1.72,34619,FBpp0078891
140,76,FBgn0037138,3.22,51,28,28,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.9847E8,9.45E7,2.0991E8,2.623E8,5.8011E7,3.2322E7,5.9664E7,7.4589E7,1.79:1.00:1.85:2.31,1.4648E8,2.361E8,4.5166E7,6.7127E7,1.00:1.49,63667,FBpp0078099
524,317,FBgn0004574,3.22,20,9,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),5.0084E6,9.6122E6,9.547E6,1.1662E7,3.0989E6,3.8719E6,5.4615E6,5.9815E6,0.80:1.00:1.41:1.54,7.3103E6,1.0604E7,3.4854E6,5.7215E6,1.00:1.64,67851,FBpp0073119
2328,2516,FBgn0267849,3.19,5,1,1,,3.3085E4,3.3308E5,4.982E5,7.0808E5,3.3085E4,3.3308E5,4.982E5,7.0808E5,0.10:1.00:1.50:2.13,1.8308E5,6.0314E5,1.8308E5,6.0314E5,1.00:3.29,31842,FBpp0078007
1084,841,FBgn0041182,3.19,1,1,1,,2.9864E5,3.0179E5,9.3779E5,1.8947E5,2.9864E5,3.0179E5,9.3779E5,1.8947E5,0.99:1.00:3.11:0.63,3.0021E5,5.6363E5,3.0021E5,5.6363E5,1.00:1.88,158347,FBpp0079133
1012,792,FBgn0060296,3.19,6,5,5,,1.9342E6,3.4488E6,4.1929E6,4.8348E6,1.5226E6,2.9037E6,3.3151E6,3.843E6,0.52:1.00:1.14:1.32,2.6915E6,4.5138E6,2.2132E6,3.5791E6,1.00:1.62,103507,FBpp0072323
1197,1218,FBgn0029512,3.19,4,1,1,,5.1675E4,4.5425E5,9.6177E5,9.1559E5,5.1675E4,4.5425E5,9.6177E5,9.1559E5,0.11:1.00:2.12:2.02,2.5296E5,9.3868E5,2.5296E5,9.3868E5,1.00:3.71,37673,FBpp0082065
1458,1507,FBgn0063493,3.19,8,1,1,,1.935E4,6.4525E4,1.4618E5,1.3189E5,1.935E4,6.4525E4,1.4618E5,1.3189E5,0.30:1.00:2.27:2.04,4.1938E4,1.3904E5,4.1938E4,1.3904E5,1.00:3.32,25510,FBpp0085856
1842,2679,FBgn0032949,3.19,12,3,3,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.4409E6,3.5312E6,3.8157E6,5.7091E6,1.0961E6,3.4252E6,3.6162E6,5.2323E6,0.32:1.00:1.06:1.53,2.486E6,4.7624E6,2.2606E6,4.4242E6,1.00:1.96,34824,FBpp0085251
267,182,FBgn0259979,3.17,31,11,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.2447E7,1.6191E7,3.4721E7,4.3361E7,1.9766E7,5.2034E6,1.8332E7,2.1142E7,3.80:1.00:3.52:4.06,2.4319E7,3.9041E7,1.2485E7,1.9737E7,1.00:1.58,53164,FBpp0085374
599,504,FBgn0039114,3.17,21,8,8,,1.8353E7,1.6003E7,2.6409E7,2.402E7,1.4701E7,8.6842E6,1.7498E7,1.6652E7,1.69:1.00:2.01:1.92,1.7178E7,2.5214E7,1.1692E7,1.7075E7,1.00:1.46,48833,FBpp0083846
1166,805,FBgn0031990,3.17,1,2,2,,4.3263E5,1.0289E6,9.5783E5,1.5945E6,4.3263E5,1.0289E6,9.5783E5,1.5945E6,0.42:1.00:0.93:1.55,7.3076E5,1.2762E6,7.3076E5,1.2762E6,1.00:1.75,214155,FBpp0079257
125,79,FBgn0020653,3.15,48,20,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8.3617E7,4.2402E7,1.0831E8,1.0605E8,3.526E7,1.5587E7,3.3823E7,4.1354E7,2.26:1.00:2.17:2.65,6.301E7,1.0718E8,2.5423E7,3.7589E7,1.00:1.48,64323,FBpp0071116
2795,5261,FBgn0028398,3.15,5,1,1,,6.1896E4,4.3993E4,2.5188E5,9.5102E4,6.1896E4,4.3993E4,2.5188E5,9.5102E4,1.41:1.00:5.73:2.16,5.2945E4,1.7349E5,5.2945E4,1.7349E5,1.00:3.28,18521,FBpp0077401
804,541,FBgn0051374,3.15,12,10,10,Deamidation (NQ),9.9927E6,8.5621E6,1.3382E7,1.2634E7,4.8689E6,4.9148E6,7.8147E6,7.1636E6,0.99:1.00:1.59:1.46,9.2774E6,1.3008E7,4.8919E6,7.4891E6,1.00:1.53,104907,FBpp0081877
1700,2265,FBgn0035853,3.14,18,3,3,,5.0139E6,2.5578E6,2.8662E6,1.6747E6,5.0139E6,2.5578E6,2.8662E6,1.6747E6,1.96:1.00:1.12:0.65,3.7859E6,2.2704E6,3.7859E6,2.2704E6,1.00:0.60,20738,FBpp0076445
613,433,FBgn0027493,3.13,30,13,13,Carbamidomethylation; Oxidation (M),3.0007E7,1.7446E7,3.6801E7,4.0532E7,9.8978E6,1.0564E7,1.6778E7,1.7227E7,0.94:1.00:1.59:1.63,2.3727E7,3.8667E7,1.0231E7,1.7002E7,1.00:1.66,48935,FBpp0083395
781,577,FBgn0034588,3.13,2,1,1,,4.3498E5,1.2226E5,8.52E5,9.4486E5,4.3498E5,1.2226E5,8.52E5,9.4486E5,3.56:1.00:6.97:7.73,2.7862E5,8.9843E5,2.7862E5,8.9843E5,1.00:3.22,76707,FBpp0071495
1569,1353,FBgn0039698,3.12,5,2,2,Carbamidomethylation,2.329E6,6.7416E5,5.345E5,5.3315E6,2.329E6,6.7416E5,5.345E5,5.3315E6,3.45:1.00:0.79:7.91,1.5016E6,2.933E6,1.5016E6,2.933E6,1.00:1.95,32573,FBpp0084849
325,188,FBgn0015019,3.12,37,16,16,Carbamidomethylation; Oxidation (M),4.0482E7,5.2036E7,4.0798E7,4.1176E7,1.2594E7,1.8115E7,1.0976E7,8.9559E6,0.70:1.00:0.61:0.49,4.6259E7,4.0987E7,1.5355E7,9.966E6,1.00:0.65,59395,FBpp0082787
