Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,Fluid_U2 Area,Fluid_U1 Area,Fluid_PM1 Area,Fluid_PM2 Area,Fluid_U2 Area (top-3 peptides),Fluid_U1 Area (top-3 peptides),Fluid_PM1 Area (top-3 peptides),Fluid_PM2 Area (top-3 peptides),Sample Profile (Ratio),Fluid_U Area,Fluid_PM Area,Fluid_U Area (top-3 peptides),Fluid_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
1231,2607,FBgn0011217,77.98,7,1,1,,2.5799E6,1.5646E6,5.3054E6,3.7672E6,2.5799E6,1.5646E6,5.3054E6,3.7672E6,1.00:0.61:2.06:1.46,2.0723E6,4.5363E6,2.0723E6,4.5363E6,1.00:2.19,16678,FBpp0082477
13,84,FBgn0260442,74.98,10,24,24,Oxidation (M),2.7568E7,4.617E7,2.0997E7,1.0914E7,6.7029E6,1.1085E7,6.8427E6,1.4194E6,1.00:1.65:1.02:0.21,3.7515E7,1.704E7,8.8939E6,4.1311E6,1.00:0.46,306993,FBpp0293740
819,767,FBgn0004055,74.57,9,3,3,,3.1492E6,2.655E6,1.6095E6,1.0927E6,3.1492E6,2.655E6,1.6095E6,1.0927E6,1.00:0.84:0.51:0.35,3.0347E6,1.4473E6,3.0347E6,1.4473E6,1.00:0.48,54308,FBpp0072304
1007,1088,FBgn0024846,74.40,11,2,2,Oxidation (M),1.6361E6,1.8249E5,7.4945E6,3.3568E6,1.6361E6,1.8249E5,7.4945E6,3.3568E6,1.00:0.11:4.58:2.05,1.0686E6,5.4256E6,1.0686E6,5.4256E6,1.00:5.08,42098,FBpp0080111
115,17,FBgn0001186,74.29,39,14,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ),7.6655E7,8.1267E7,4.0075E7,3.8316E7,4.1068E7,4.843E7,2.4887E7,1.6846E7,1.00:1.18:0.61:0.41,7.9313E7,3.9412E7,4.4957E7,2.0915E7,1.00:0.47,59229,FBpp0071296
1481,2161,FBgn0034468,74.20,22,3,3,,3.4817E6,5.1336E6,6.215E6,1.2252E7,3.4817E6,5.1336E6,6.215E6,1.2252E7,1.00:1.47:1.79:3.52,4.3077E6,9.2336E6,4.3077E6,9.2336E6,1.00:2.14,15403,FBpp0085672
902,955,FBgn0032178,73.83,9,3,3,,2.7749E6,6.5383E6,4.2334E6,0,2.7749E6,6.5383E6,4.2334E6,0,1.00:2.36:1.53:0,4.6566E6,4.2334E6,4.6566E6,4.2334E6,1.00:0.91,42519,FBpp0079528
778,669,FBgn0250753,73.69,24,9,9,Carbamidomethylation,3.5974E6,1.796E7,3.257E7,1.4972E7,1.9915E6,8.2583E6,2.8294E7,9.6227E6,1.00:4.15:14.21:4.83,1.0779E7,2.3771E7,5.1249E6,1.8959E7,1.00:3.70,49225,FBpp0078393
376,358,FBgn0266369,73.53,1,1,1,,2.4404E5,1.1194E5,1.3192E6,2.0487E5,2.4404E5,1.1194E5,1.3192E6,2.0487E5,1.00:0.46:5.41:0.84,1.7799E5,7.6202E5,1.7799E5,7.6202E5,1.00:4.28,98776,FBpp0080968
668,680,FBgn0030749,73.44,11,4,4,Carbamidomethylation; Oxidation (M),6.2357E6,6.7883E5,8.563E6,5.9135E6,5.4025E6,6.2948E5,8.1092E6,5.844E6,1.00:0.12:1.50:1.08,3.5558E6,7.2383E6,3.1145E6,6.9766E6,1.00:2.24,56215,FBpp0074078
509,524,FBgn0033179,73.30,9,2,2,,7.6451E4,6.6582E4,1.801E5,1.0412E6,7.6451E4,6.6582E4,1.801E5,1.0412E6,1.00:0.87:2.36:13.62,7.6732E4,6.1067E5,7.6732E4,6.1067E5,1.00:7.96,43380,FBpp0088069
348,350,FBgn0028692,72.77,10,8,8,Oxidation (M),1.3731E7,1.7855E7,5.1207E6,1.2076E7,4.3921E6,1.579E7,2.3606E6,7.1313E6,1.00:3.59:0.54:1.62,1.9732E7,9.1779E6,1.1935E7,5.3253E6,1.00:0.45,114223,FBpp0303405
803,1819,FBgn0032897,72.62,31,4,4,Carbamidomethylation; Oxidation (M),1.1858E7,1.3484E7,3.8471E7,2.1595E7,1.1584E7,1.3399E7,3.7895E7,2.0987E7,1.00:1.16:3.27:1.81,1.2671E7,3.0033E7,1.2491E7,2.9441E7,1.00:2.36,15887,FBpp0080956
906,927,FBgn0038723,72.56,7,2,2,,4.0682E5,4.2853E5,2.2988E6,1.6698E6,4.0682E5,4.2853E5,2.2988E6,1.6698E6,1.00:1.05:5.65:4.10,5.0042E5,1.9843E6,5.0042E5,1.9843E6,1.00:3.97,40636,FBpp0083213
664,674,FBgn0032198,72.11,27,6,6,,1.2647E7,1.6256E6,1.8609E7,1.2659E7,1.0569E7,1.1639E6,1.5546E7,9.3072E6,1.00:0.11:1.47:0.88,7.1361E6,1.5634E7,5.8667E6,1.2427E7,1.00:2.12,28935,FBpp0079542
1121,1504,FBgn0024509,72.01,3,1,1,,1.2005E6,6.0545E5,2.8115E6,1.0118E6,1.2005E6,6.0545E5,2.8115E6,1.0118E6,1.00:0.50:2.34:0.84,9.0296E5,1.9116E6,9.0296E5,1.9116E6,1.00:2.12,39528,FBpp0083801
86,31,FBgn0001128,71.47,84,28,28,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8.7152E8,8.5124E8,1.7161E9,1.3702E9,2.6954E8,2.0179E8,5.1778E8,4.7695E8,1.00:0.75:1.92:1.77,8.7693E8,1.5474E9,2.3892E8,4.9737E8,1.00:2.08,39329,FBpp0078777
949,1356,FBgn0025640,71.41,13,3,3,Carbamidomethylation,1.9275E6,1.8323E5,3.8905E6,2.0093E6,1.9275E6,1.8323E5,3.8905E6,2.0093E6,1.00:0.10:2.02:1.04,1.3013E6,2.9499E6,1.3013E6,2.9499E6,1.00:2.27,31626,FBpp0070110
1190,1698,FBgn0000318,71.29,6,1,1,,5.1375E5,3.2372E5,9.0364E5,8.6201E5,5.1375E5,3.2372E5,9.0364E5,8.6201E5,1.00:0.63:1.76:1.68,4.1873E5,8.8282E5,4.1873E5,8.8282E5,1.00:2.11,14661,FBpp0078728
1569,3763,FBgn0261599,70.82,12,1,1,Carbamidomethylation,2.3209E5,5.2937E5,1.6779E6,1.3138E6,2.3209E5,5.2937E5,1.6779E6,1.3138E6,1.00:2.28:7.23:5.66,3.8073E5,1.4959E6,3.8073E5,1.4959E6,1.00:3.93,6591,FBpp0081614
1255,2478,FBgn0261597,70.15,21,2,2,,5.6526E6,3.8705E6,1.3415E7,9.2642E6,5.6526E6,3.8705E6,1.3415E7,9.2642E6,1.00:0.68:2.37:1.64,4.7616E6,1.134E7,4.7616E6,1.134E7,1.00:2.38,13267,FBpp0080640
875,750,FBgn0011327,69.36,6,2,2,,1.1471E6,4.6566E5,2.1451E6,1.2173E6,1.1471E6,4.6566E5,2.1451E6,1.2173E6,1.00:0.41:1.87:1.06,8.0637E5,1.6812E6,8.0637E5,1.6812E6,1.00:2.08,37673,FBpp0076200
915,1066,FBgn0051674,68.90,7,2,2,,1.9757E5,1.3464E4,5.8209E5,2.9099E5,1.9757E5,1.3464E4,5.8209E5,2.9099E5,1.00:0.07:2.95:1.47,1.0552E5,4.3654E5,1.0552E5,4.3654E5,1.00:4.14,35987,FBpp0080952
779,706,FBgn0040475,68.67,2,1,1,,3.5233E5,5.6844E5,2.1614E5,1.8602E5,3.5233E5,5.6844E5,2.1614E5,1.8602E5,1.00:1.61:0.61:0.53,4.6039E5,2.0108E5,4.6039E5,2.0108E5,1.00:0.44,63167,FBpp0076142
870,911,FBgn0030719,68.66,4,2,2,,1.2956E6,2.5079E6,1.0268E6,8.0491E5,1.2956E6,2.5079E6,1.0268E6,8.0491E5,1.00:1.94:0.79:0.62,1.9017E6,9.1587E5,1.9017E6,9.1587E5,1.00:0.48,51700,FBpp0089137
1057,1577,FBgn0029996,68.32,17,3,3,,3.1379E6,0,3.744E6,2.8964E6,3.1379E6,0,3.744E6,2.8964E6,1.00:0:1.19:0.92,3.1379E6,3.3202E6,3.1379E6,3.3202E6,1.00:1.06,20889,FBpp0071067
638,1196,FBgn0283450,67.93,36,5,5,Carbamidomethylation; Oxidation (M),1.587E7,3.1644E5,3.0854E7,2.1355E7,1.2363E7,2.4228E5,2.3336E7,1.5769E7,1.00:0.02:1.89:1.28,8.939E6,2.6105E7,6.3026E6,1.9553E7,1.00:3.10,20046,FBpp0088085
367,1376,FBgn0266451,67.47,27,3,3,,8.8284E6,6.4069E6,1.8845E7,1.2569E7,8.8284E6,6.4069E6,1.8845E7,1.2569E7,1.00:0.73:2.13:1.42,7.6177E6,1.5707E7,7.6177E6,1.5707E7,1.00:2.06,14371,FBpp0310816
336,800,FBgn0028737,67.46,5,1,1,,3.929E5,5.0644E6,9.0285E5,4.0589E5,3.929E5,5.0644E6,9.0285E5,4.0589E5,1.00:12.89:2.30:1.03,2.7286E6,6.5437E5,2.7286E6,6.5437E5,1.00:0.24,24247,FBpp0305165
61,94,FBgn0028479,67.04,5,3,3,,9.015E5,2.0702E6,3.8544E5,1.0594E6,9.015E5,2.0702E6,3.8544E5,1.0594E6,1.00:2.30:0.43:1.18,1.4858E6,7.2244E5,1.4858E6,7.2244E5,1.00:0.49,84075,FBpp0079454
378,395,FBgn0027356,66.98,16,8,8,,2.5074E7,4.8719E6,3.3043E7,2.0733E7,1.2236E7,3.0005E6,1.8971E7,1.2354E7,1.00:0.25:1.55:1.01,1.7537E7,2.6888E7,8.788E6,1.5663E7,1.00:1.78,65902,FBpp0086941
287,293,FBgn0002565,66.72,4,3,3,Oxidation (M),1.0289E7,1.8437E6,2.1538E4,3.6792E5,1.0289E7,1.8437E6,2.1538E4,3.6792E5,1.00:0.18:0.02:0.04,1.0008E7,3.0285E5,1.0008E7,3.0285E5,1.00:0.03,83349,FBpp0088363
1003,1085,FBgn0031148,66.44,4,2,2,,1.9373E6,1.4711E6,9.6072E5,7.0239E5,1.9373E6,1.4711E6,9.6072E5,7.0239E5,1.00:0.76:0.50:0.36,1.7042E6,8.3156E5,1.7042E6,8.3156E5,1.00:0.49,56883,FBpp0076937
513,427,FBgn0037537,65.67,44,13,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),4.9751E7,1.5237E6,7.0522E7,5.6563E7,2.2615E7,1.9659E5,2.6862E7,2.1519E7,1.00:0.02:1.19:0.95,3.4315E7,6.3543E7,1.5697E7,2.4191E7,1.00:1.54,36862,FBpp0081312
631,853,FBgn0027619,65.31,18,3,3,Carbamidomethylation,3.318E6,4.1958E4,4.1126E6,6.0395E6,3.318E6,4.1958E4,4.1126E6,6.0395E6,1.00:0.02:1.24:1.82,2.0884E6,5.0761E6,2.0884E6,5.0761E6,1.00:2.43,26568,FBpp0087475
1456,2250,FBgn0029503,64.81,7,1,1,,7.3491E5,0,2.7096E6,1.0493E6,7.3491E5,0,2.7096E6,1.0493E6,1.00:0:3.69:1.43,7.3491E5,1.8794E6,7.3491E5,1.8794E6,1.00:2.56,40240,FBpp0083939
492,357,FBgn0025885,64.78,22,9,9,Oxidation (M),1.7057E7,1.4984E7,1.284E7,6.0264E6,8.93E6,7.7136E6,4.8689E6,3.334E6,1.00:0.86:0.55:0.37,1.6021E7,9.4334E6,8.3218E6,4.1014E6,1.00:0.49,62250,FBpp0088368
337,200,FBgn0031497,64.75,32,12,12,Carbamidomethylation; Oxidation (M),4.4167E7,3.7888E7,2.8749E7,2.2533E7,2.1873E7,2.039E7,1.1283E7,9.5501E6,1.00:0.93:0.52:0.44,4.1027E7,2.5641E7,2.1131E7,1.0417E7,1.00:0.49,56456,FBpp0077351
879,1172,FBgn0033272,64.47,3,1,1,,1.712E5,6.601E5,1.8469E5,1.0101E5,1.712E5,6.601E5,1.8469E5,1.0101E5,1.00:3.86:1.08:0.59,4.1565E5,1.4285E5,4.1565E5,1.4285E5,1.00:0.34,43965,FBpp0087883
397,325,FBgn0035147,64.39,51,12,12,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6.7711E7,4.8122E5,9.8879E7,7.4265E7,2.7193E7,8.7748E4,4.8495E7,3.2019E7,1.00:0.02:1.78:1.18,3.9237E7,8.6572E7,1.6707E7,4.0257E7,1.00:2.41,38697,FBpp0072455
684,529,FBgn0003067,62.86,7,4,4,Oxidation (M),4.8537E6,3.5892E5,6.2204E6,4.0196E6,4.0751E6,3.5892E5,5.6824E6,3.2097E6,1.00:0.09:1.39:0.79,3.2714E6,5.12E6,2.4928E6,4.4461E6,1.00:1.78,71130,FBpp0085880
200,98,FBgn0022355,62.75,44,26,26,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.6123E8,1.601E8,9.2452E7,1.2365E8,4.6061E7,6.5577E7,2.0548E7,3.5156E7,1.00:1.42:0.45:0.76,1.6085E8,1.1087E8,5.5819E7,2.7852E7,1.00:0.50,71812,FBpp0074331
908,1049,FBgn0035631,62.68,15,3,3,Oxidation (M),2.1587E6,1.3142E5,3.0668E6,3.3639E6,2.1587E6,1.3142E5,3.0668E6,3.3639E6,1.00:0.06:1.42:1.56,1.2613E6,3.2154E6,1.2613E6,3.2154E6,1.00:2.55,31728,FBpp0076804
255,411,FBgn0005674,62.49,7,12,12,Carbamidomethylation,8.5173E6,1.1538E7,7.2941E6,3.3804E6,4.5042E6,6.5445E6,3.7096E6,1.8123E6,1.00:1.45:0.82:0.40,1.0028E7,5.6562E6,5.5243E6,2.761E6,1.00:0.50,189410,FBpp0083898
184,193,FBgn0037580,62.29,34,23,23,Carbamidomethylation; Oxidation (M),9.8327E7,8.1901E7,6.0215E7,1.8473E8,4.129E7,3.941E7,2.3126E7,1.3815E8,1.00:0.95:0.56:3.35,9.3567E7,1.428E8,4.035E7,8.0636E7,1.00:2.00,89194,FBpp0081331
162,397,FBgn0000100,62.17,49,11,11,Carbamidomethylation; Oxidation (M),8.7588E7,2.9278E7,1.4334E8,7.4419E7,4.3079E7,1.2796E7,6.9474E7,4.2106E7,1.00:0.30:1.61:0.98,5.8444E7,1.0948E8,2.7949E7,5.579E7,1.00:2.00,34202,FBpp0078134
1012,1820,FBgn0000109,62.12,21,3,3,Oxidation (M),3.9246E6,1.3898E4,4.4446E6,5.5097E6,3.9246E6,1.3898E4,4.4446E6,5.5097E6,1.00:0.02:1.13:1.40,3.1848E6,4.9771E6,3.1848E6,4.9771E6,1.00:1.56,19690,FBpp0088438
349,515,FBgn0001258,62.12,49,12,12,Carbamidomethylation; Oxidation (M),5.4017E7,1.4464E6,7.8618E7,5.7254E7,3.4022E7,8.2637E5,4.0328E7,2.9241E7,1.00:0.02:1.19:0.86,3.063E7,6.7997E7,1.7424E7,3.4784E7,1.00:2.00,35537,FBpp0076716
852,811,FBgn0037230,62.05,8,4,4,,4.4456E6,3.0625E6,2.1462E6,1.9296E6,4.1465E6,2.9078E6,1.9426E6,1.5925E6,1.00:0.70:0.47:0.38,3.7541E6,2.0379E6,3.5271E6,1.7675E6,1.00:0.50,67352,FBpp0078599
735,679,FBgn0261394,61.84,19,5,5,Oxidation (M),7.8372E5,5.0605E6,1.3345E7,2.711E6,7.4637E5,3.6892E6,9.1679E6,2.6774E6,1.00:4.94:12.28:3.59,3.4939E6,9.6502E6,2.2178E6,5.9226E6,1.00:2.67,29412,FBpp0071451
385,316,FBgn0040493,60.57,24,13,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.5272E7,6.9804E6,1.4814E7,3.8991E7,5.524E6,6.8715E6,5.2082E6,1.9301E7,1.00:1.24:0.94:3.49,1.8412E7,2.7017E7,9.9879E6,1.2255E7,1.00:1.23,71180,FBpp0310520
660,692,FBgn0031717,60.45,21,5,5,Oxidation (M),9.6231E6,4.445E5,1.016E7,7.8502E6,7.3362E6,2.226E5,8.3006E6,6.634E6,1.00:0.03:1.13:0.90,5.0338E6,9.3515E6,3.7794E6,7.4673E6,1.00:1.98,30824,FBpp0078734
406,495,FBgn0000566,60.32,30,11,11,Carbamidomethylation,2.9627E7,1.1093E7,5.3538E7,3.6526E7,1.2547E7,5.9566E6,2.2852E7,1.3676E7,1.00:0.47:1.82:1.09,2.036E7,4.5032E7,9.2517E6,1.8264E7,1.00:1.97,42988,FBpp0085889
261,258,FBgn0039612,60.15,24,11,11,Oxidation (M),2.7249E7,2.2325E7,1.0343E7,1.9125E7,1.2281E7,1.5509E7,2.7967E6,1.1295E7,1.00:1.26:0.23:0.92,2.4914E7,1.7644E7,1.3895E7,7.0459E6,1.00:0.51,77435,FBpp0084718
1105,1101,FBgn0032859,59.57,3,1,1,,1.6221E6,2.6806E5,2.6506E6,1.0632E6,1.6221E6,2.6806E5,2.6506E6,1.0632E6,1.00:0.17:1.63:0.66,9.4508E5,1.8569E6,9.4508E5,1.8569E6,1.00:1.96,35104,FBpp0080890
823,950,FBgn0010774,59.21,8,2,2,,6.1276E5,1.019E5,1.6735E6,1.0948E6,6.1276E5,1.019E5,1.6735E6,1.0948E6,1.00:0.17:2.73:1.79,3.5733E5,1.3841E6,3.5733E5,1.3841E6,1.00:3.87,27852,FBpp0081156
636,803,FBgn0014032,59.18,38,8,8,Oxidation (M),1.7245E7,6.3502E5,2.0577E7,1.6515E7,8.5E6,4.1795E5,9.1975E6,8.2816E6,1.00:0.05:1.08:0.97,1.1843E7,1.8546E7,6.2847E6,8.7396E6,1.00:1.39,29231,FBpp0071184
1074,1178,FBgn0037298,59.11,2,1,1,,1.3875E4,7.1509E5,3.4355E4,0,1.3875E4,7.1509E5,3.4355E4,0,1.00:51.54:2.48:0,3.6448E5,3.4355E4,3.6448E5,3.4355E4,1.00:0.09,47256,FBpp0078470
475,535,FBgn0010611,59.04,20,6,6,Oxidation (M); Deamidation (NQ),6.1503E6,8.7713E4,9.9022E6,1.4151E7,3.8575E6,3.9721E4,5.8534E6,1.0842E7,1.00:0.02:1.52:2.81,5.5652E6,1.2026E7,3.421E6,8.3476E6,1.00:2.44,51177,FBpp0086289
1320,1620,FBgn0028836,58.56,8,2,2,,8.7544E5,1.0173E4,9.9914E5,1.3746E6,8.7544E5,1.0173E4,9.9914E5,1.3746E6,1.00:0.02:1.14:1.57,5.6312E5,1.1869E6,5.6312E5,1.1869E6,1.00:2.11,31068,FBpp0087821
555,1583,FBgn0286213,58.47,47,6,6,Carbamidomethylation,1.6373E7,1.8702E7,4.6949E7,3.3617E7,1.5199E7,1.5277E7,3.8012E7,2.1453E7,1.00:1.01:2.50:1.41,1.7538E7,4.0283E7,1.5238E7,2.9732E7,1.00:1.95,15169,FBpp0075612
182,138,FBgn0014863,57.86,40,14,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.8583E7,1.6282E7,3.6083E7,6.7524E7,1.3213E7,7.2795E6,1.79E7,2.8565E7,1.00:0.55:1.35:2.16,2.2432E7,5.1803E7,1.0246E7,2.3232E7,1.00:2.27,53526,FBpp0081133
147,250,FBgn0030362,57.43,80,23,23,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.023E8,2.9139E7,4.1565E8,2.8314E8,8.3751E7,2.8259E7,1.2536E8,9.1753E7,1.00:0.34:1.50:1.10,1.3866E8,3.5064E8,6.723E7,1.0855E8,1.00:1.61,35360,FBpp0073422
1001,997,FBgn0040206,57.33,9,3,3,,4.3991E6,2.9212E6,2.5884E6,1.1907E6,4.3991E6,2.9212E6,2.5884E6,1.1907E6,1.00:0.66:0.59:0.27,3.6601E6,1.8896E6,3.6601E6,1.8896E6,1.00:0.52,51237,FBpp0085236
284,88,FBgn0037632,56.84,22,10,10,Oxidation (M),2.4552E7,1.7546E7,1.4305E7,9.0498E6,1.288E7,1.0961E7,6.9553E6,5.3916E6,1.00:0.85:0.54:0.42,2.1338E7,1.1678E7,1.1951E7,6.1735E6,1.00:0.52,59387,FBpp0081401
461,430,FBgn0261396,56.56,17,7,7,Oxidation (M),9.2995E6,1.0841E7,6.0567E6,4.0849E6,4.7419E6,7.9274E6,4.5336E6,2.0396E6,1.00:1.67:0.96:0.43,1.0175E7,5.3059E6,6.3346E6,3.2866E6,1.00:0.52,56004,FBpp0307804
411,752,FBgn0031143,56.27,49,9,9,Oxidation (M),3.3965E7,2.4053E5,3.478E7,3.4321E7,1.5154E7,2.0024E5,1.6083E7,1.3457E7,1.00:0.02:1.06:0.89,2.4505E7,3.455E7,1.0773E7,1.477E7,1.00:1.37,31642,FBpp0076960
1217,1791,FBgn0036848,55.57,4,1,1,,1.8041E5,0,5.0691E5,6.423E4,1.8041E5,0,5.0691E5,6.423E4,1.00:0:2.81:0.36,1.8041E5,2.8557E5,1.8041E5,2.8557E5,1.00:1.58,32153,FBpp0074800
825,757,FBgn0023525,54.94,24,7,7,Carbamidomethylation; Oxidation (M),5.9912E6,3.5581E6,1.2787E7,5.0503E6,4.7775E6,2.4046E6,9.6154E6,4.0819E6,1.00:0.50:2.01:0.85,5.2954E6,9.6362E6,3.8223E6,6.8487E6,1.00:1.79,36340,FBpp0070401
533,434,FBgn0030038,54.74,11,6,6,Carbamidomethylation; Oxidation (M),7.2927E6,7.9921E4,6.1076E6,1.5747E7,5.0534E6,7.9921E4,4.057E6,1.1882E7,1.00:0.02:0.80:2.35,5.4555E6,1.0927E7,3.2162E6,7.9697E6,1.00:2.48,62529,FBpp0308525
1326,1751,FBgn0038360,54.72,3,1,1,,1.465E5,0,3.1707E5,4.1717E5,1.465E5,0,3.1707E5,4.1717E5,1.00:0:2.16:2.85,1.465E5,3.6712E5,1.465E5,3.6712E5,1.00:2.51,50671,FBpp0082626
7,43,FBgn0250789,54.42,28,53,53,Carbamidomethylation; Oxidation (M),7.9989E7,1.309E8,7.376E7,4.9712E7,1.0532E7,1.9273E7,1.0093E7,5.5887E6,1.00:1.83:0.96:0.53,1.0782E8,6.3594E7,1.4903E7,7.8408E6,1.00:0.53,282565,FBpp0305100
1063,1094,FBgn0032246,54.07,5,2,2,,5.6588E5,4.4619E4,5.9916E5,9.2438E5,5.6588E5,4.4619E4,5.9916E5,9.2438E5,1.00:0.08:1.06:1.63,5.0272E5,7.6177E5,5.0272E5,7.6177E5,1.00:1.52,46190,FBpp0079610
1195,1378,FBgn0031973,54.06,4,2,2,,4.6203E5,7.6816E5,1.0308E6,1.3017E6,4.6203E5,7.6816E5,1.0308E6,1.3017E6,1.00:1.66:2.23:2.82,6.151E5,1.1663E6,6.151E5,1.1663E6,1.00:1.90,59350,FBpp0079171
1023,1596,FBgn0036825,53.68,27,4,4,Oxidation (M),7.6895E6,3.3528E6,1.0268E7,1.286E7,7.0056E6,3.1935E6,9.0475E6,1.0242E7,1.00:0.46:1.29:1.46,5.5212E6,1.1564E7,5.0995E6,9.6447E6,1.00:1.89,17281,FBpp0074833
1229,1973,FBgn0016685,53.29,24,3,3,,1.133E7,0,8.1777E6,1.3194E7,1.133E7,0,8.1777E6,1.3194E7,1.00:0:0.72:1.16,1.133E7,1.0686E7,1.133E7,1.0686E7,1.00:0.94,16996,FBpp0084918
713,628,FBgn0263121,53.17,14,3,3,,3.5471E5,3.1997E6,1.1317E7,2.8293E5,3.5471E5,3.1997E6,1.1317E7,2.8293E5,1.00:9.02:31.91:0.80,3.0482E6,5.8002E6,3.0482E6,5.8002E6,1.00:1.90,27162,FBpp0087970
713,629,FBgn0050382,53.17,14,3,3,,3.5471E5,3.1997E6,1.1317E7,2.8293E5,3.5471E5,3.1997E6,1.1317E7,2.8293E5,1.00:9.02:31.91:0.80,3.0482E6,5.8002E6,3.0482E6,5.8002E6,1.00:1.90,27162,FBpp0087968
44,5,FBgn0039241,52.99,70,37,37,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8.7085E8,5.4607E8,5.5032E8,4.1528E8,2.2654E8,1.5669E8,1.2984E8,7.3722E7,1.00:0.69:0.57:0.33,7.0954E8,4.8387E8,1.9161E8,1.0178E8,1.00:0.53,63324,FBpp0084087
187,194,FBgn0087013,52.92,28,24,24,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6.5909E7,9.0534E7,2.5323E7,5.8213E7,2.3504E7,3.8656E7,8.4854E6,2.2008E7,1.00:1.64:0.36:0.94,9.3171E7,4.3705E7,3.9803E7,1.5246E7,1.00:0.38,123561,FBpp0078500
237,159,FBgn0263120,52.59,3,2,2,,2.988E5,1.8085E6,5.3443E5,4.0451E5,2.988E5,1.8085E6,5.3443E5,4.0451E5,1.00:6.05:1.79:1.35,1.4561E6,4.6947E5,1.4561E6,4.6947E5,1.00:0.32,81815,FBpp0305216
14,85,FBgn0250788,52.41,11,21,21,Oxidation (M),1.5313E7,2.5583E7,1.4991E7,7.0931E6,3.2936E6,8.4125E6,4.0493E6,2.1928E6,1.00:2.55:1.23:0.67,2.1261E7,1.1121E7,5.853E6,3.1211E6,1.00:0.53,267625,FBpp0306507
577,467,FBgn0024352,52.40,12,5,5,,8.9195E6,7.4432E6,5.3936E6,3.8141E6,6.682E6,5.7658E6,3.9775E6,2.6606E6,1.00:0.86:0.60:0.40,8.1814E6,5.1189E6,6.2239E6,3.8341E6,1.00:0.62,55698,FBpp0077790
102,174,FBgn0261800,51.99,10,14,14,Carbamidomethylation,1.0686E7,1.9905E7,1.1751E7,9.3552E6,3.6045E6,1.0412E7,3.0571E6,4.4383E6,1.00:2.89:0.85:1.23,1.5448E7,1.0614E7,7.0083E6,3.7477E6,1.00:0.53,198333,FBpp0079113
512,490,FBgn0034215,51.47,31,8,8,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.2952E7,4.9703E6,1.7478E7,1.628E7,8.587E6,4.7056E6,1.1843E7,1.2927E7,1.00:0.55:1.38:1.51,1.1791E7,1.7046E7,7.5661E6,1.2553E7,1.00:1.66,40354,FBpp0303028
783,711,FBgn0010235,51.45,5,2,2,,2.4479E6,2.9796E6,1.209E6,4.3422E5,2.4479E6,2.9796E6,1.209E6,4.3422E5,1.00:1.22:0.49:0.18,2.7138E6,8.2159E5,2.7138E6,8.2159E5,1.00:0.30,58044,FBpp0075683
519,935,FBgn0036213,51.42,24,4,4,Oxidation (M); Deamidation (NQ),4.9947E5,8.3173E6,1.929E7,4.8878E5,3.8906E5,7.6541E6,1.8034E7,4.8878E5,1.00:19.67:46.35:1.26,4.4253E6,1.0568E7,4.0385E6,9.3122E6,1.00:2.31,24274,FBpp0075764
789,1396,FBgn0285947,51.35,42,6,6,,1.178E7,1.5858E7,3.457E7,2.7205E7,8.9227E6,1.3764E7,2.5805E7,1.6436E7,1.00:1.54:2.89:1.84,1.3819E7,3.0887E7,1.1343E7,2.1121E7,1.00:1.86,17878,FBpp0074500
1112,1105,FBgn0014411,51.00,7,3,3,Oxidation (M),2.8405E6,1.6044E6,1.2144E6,1.1787E6,2.8405E6,1.6044E6,1.2144E6,1.1787E6,1.00:0.56:0.43:0.41,2.2225E6,1.1965E6,2.2225E6,1.1965E6,1.00:0.54,52656,FBpp0070298
118,176,FBgn0050069,50.87,1,2,2,,8.041E6,3.1768E6,2.9342E6,9.9047E5,8.041E6,3.1768E6,2.9342E6,9.9047E5,1.00:0.40:0.36:0.12,5.6089E6,1.9623E6,5.6089E6,1.9623E6,1.00:0.35,460964,FBpp0086659
922,951,FBgn0037687,50.67,8,2,2,,2.0092E6,2.4152E5,2.5327E6,1.6388E6,2.0092E6,2.4152E5,2.5327E6,1.6388E6,1.00:0.12:1.26:0.82,1.5995E6,2.0857E6,1.5995E6,2.0857E6,1.00:1.30,31870,FBpp0081507
871,875,FBgn0038110,50.05,9,3,3,,5.8582E6,2.9194E2,5.2125E6,5.5984E6,5.8582E6,2.9194E2,5.2125E6,5.5984E6,1.00:0.02:0.89:0.96,4.9989E6,5.4055E6,4.9989E6,5.4055E6,1.00:1.08,33235,FBpp0082187
